"geo","dguid","age","disability","value","rate"
"Ontario",35,"65+","Severe",242260,0.102043309225851
"Ontario",35,"65+","Very severe",317170,0.13359645169307
"Manitoba",46,"Total","Total population",999840,1
"Manitoba",46,"Total","Total with disability",291890,0.29193670987358
"Manitoba",46,"Total","Mild",112270,0.112287966074572
"Manitoba",46,"Total","Moderate",62750,0.0627600416066571
"Manitoba",46,"Total","Severe",60220,0.0602296367418787
"Manitoba",46,"Total","Very severe",56650,0.0566590654504721
"Manitoba",46,"15-24","Total population",156770,1
"Manitoba",46,"15-24","Total with disability",31830,0.203036295209543
"Manitoba",46,"15-24","Mild",16060,0.102443069464821
"Manitoba",46,"15-24","Moderate",6940,0.0442686738534158
"Manitoba",46,"15-24","Severe",5010,0.0319576449575812
"Manitoba",46,"15-24","Very severe",3830,0.0244306946482108
"Manitoba",46,"25-64","Total population",644830,1
"Manitoba",46,"25-64","Total with disability",165930,0.257323635686925
"Manitoba",46,"25-64","Mild",67520,0.104709768466107
"Manitoba",46,"25-64","Moderate",36430,0.0564955104446133
"Manitoba",46,"25-64","Severe",33670,0.0522153125630011
"Manitoba",46,"25-64","Very severe",28310,0.0439030442132035
"Manitoba",46,"25-44","Total population",333340,1
"Manitoba",46,"25-44","Total with disability",67700,0.203095938081238
"Manitoba",46,"25-44","Mild",31420,0.0942581148377032
"Manitoba",46,"25-44","Moderate",14950,0.0448491030179396
"Manitoba",46,"25-44","Severe",13710,0.0411291774164517
"Manitoba",46,"25-44","Very severe",7620,0.0228595428091438
"Manitoba",46,"45-64","Total population",311480,1
"Manitoba",46,"45-64","Total with disability",98230,0.315365352510595
"Manitoba",46,"45-64","Mild",36100,0.11589829202517
"Manitoba",46,"45-64","Moderate",21470,0.0689289842044433
"Manitoba",46,"45-64","Severe",19960,0.0640811609092077
"Manitoba",46,"45-64","Very severe",20690,0.0664248105817388
"Manitoba",46,"65+","Total population",198250,1
"Manitoba",46,"65+","Total with disability",94130,0.474804539722573
"Manitoba",46,"65+","Mild",28690,0.144716267339218
"Manitoba",46,"65+","Moderate",19380,0.0977553593947037
"Manitoba",46,"65+","Severe",21540,0.108650693568726
"Manitoba",46,"65+","Very severe",24510,0.123631778058008
"Saskatchewan",47,"Total","Total population",830690,1
"Saskatchewan",47,"Total","Total with disability",247800,0.298306227353164
"Saskatchewan",47,"Total","Mild",101140,0.121754204336154
"Saskatchewan",47,"Total","Moderate",50510,0.0608048730573379
"Saskatchewan",47,"Total","Severe",49450,0.0595288254342775
"Saskatchewan",47,"Total","Very severe",46690,0.0562062863402713
"Saskatchewan",47,"15-24","Total population",122290,1
"Saskatchewan",47,"15-24","Total with disability",26130,0.213672418022733
"Saskatchewan",47,"15-24","Mild",13840,0.113173603728841
"Saskatchewan",47,"15-24","Moderate",4770,0.0390056423256194
"Saskatchewan",47,"15-24","Severe",4570,0.0373701856243356
"Saskatchewan",47,"15-24","Very severe",2950,0.0241229863439365
"Saskatchewan",47,"25-64","Total population",538570,1
"Saskatchewan",47,"25-64","Total with disability",145670,0.270475518502702
"Saskatchewan",47,"25-64","Mild",64500,0.119761590879551
"Saskatchewan",47,"25-64","Moderate",29800,0.0553317117552036
"Saskatchewan",47,"25-64","Severe",27860,0.0517295801845628
"Saskatchewan",47,"25-64","Very severe",23510,0.0436526356833838
"Saskatchewan",47,"25-44","Total population",280330,1
"Saskatchewan",47,"25-44","Total with disability",65150,0.23240466592944
"Saskatchewan",47,"25-44","Mild",34690,0.123747012449613
"Saskatchewan",47,"25-44","Moderate",11780,0.0420219027574644
"Saskatchewan",47,"25-44","Severe",11100,0.039596190204402
"Saskatchewan",47,"25-44","Very severe",7590,0.0270752327613884
"Saskatchewan",47,"45-64","Total population",258240,1
"Saskatchewan",47,"45-64","Total with disability",80520,0.311802973977695
"Saskatchewan",47,"45-64","Mild",29810,0.115435254027261
"Saskatchewan",47,"45-64","Moderate",18020,0.0697800495662949
"Saskatchewan",47,"45-64","Severe",16770,0.0649395910780669
"Saskatchewan",47,"45-64","Very severe",15920,0.0616480793060719
"Saskatchewan",47,"65+","Total population",169830,1
"Saskatchewan",47,"65+","Total with disability",76000,0.447506329859271
"Saskatchewan",47,"65+","Mild",22800,0.134251898957781
"Saskatchewan",47,"65+","Moderate",15940,0.0938585644467997
"Saskatchewan",47,"65+","Severe",17020,0.100217864923747
"Saskatchewan",47,"65+","Very severe",20230,0.119119119119119
"Alberta",48,"Total","Total population",3294550,1
"Alberta",48,"Total","Total with disability",906100,0.275029973744517
"Alberta",48,"Total","Mild",377590,0.114610493087068
"Alberta",48,"Total","Moderate",176440,0.0535551137484634
"Alberta",48,"Total","Severe",178170,0.0540802233992503
"Alberta",48,"Total","Very severe",173910,0.0527871788256363
"Alberta",48,"15-24","Total population",480780,1
"Alberta",48,"15-24","Total with disability",110050,0.228898872665252
"Alberta",48,"15-24","Mild",53420,0.111111111111111
"Alberta",48,"15-24","Moderate",20290,0.0422022546694954
"Alberta",48,"15-24","Severe",20190,0.041994259328591
"Alberta",48,"15-24","Very severe",16160,0.0336120470901452
"Alberta",48,"25-64","Total population",2263250,1
"Alberta",48,"25-64","Total with disability",550800,0.243366839721639
"Alberta",48,"25-64","Mild",242810,0.107283773334806
"Alberta",48,"25-64","Moderate",106240,0.0469413454103612
"Alberta",48,"25-64","Severe",105940,0.0468087926654148
"Alberta",48,"25-64","Very severe",95810,0.0423329283110571
"Alberta",48,"25-44","Total population",1210070,1
"Alberta",48,"25-44","Total with disability",243480,0.201211500161148
"Alberta",48,"25-44","Mild",127030,0.104977398001768
"Alberta",48,"25-44","Moderate",46600,0.038510168833208
"Alberta",48,"25-44","Severe",45390,0.0375102266811011
"Alberta",48,"25-44","Very severe",24450,0.020205442660342
"Alberta",48,"45-64","Total population",1053180,1
"Alberta",48,"45-64","Total with disability",307320,0.291801971173019
"Alberta",48,"45-64","Mild",115780,0.10993372452952
"Alberta",48,"45-64","Moderate",59630,0.0566190015002184
"Alberta",48,"45-64","Severe",60550,0.0574925463833343
"Alberta",48,"45-64","Very severe",71360,0.0677566987599461
"Alberta",48,"65+","Total population",550520,1
"Alberta",48,"65+","Total with disability",245260,0.445506066991208
"Alberta",48,"65+","Mild",81360,0.147787546319843
"Alberta",48,"65+","Moderate",49920,0.0906779045266294
"Alberta",48,"65+","Severe",52050,0.0945469737702536
"Alberta",48,"65+","Very severe",61940,0.112511807018819
"British Columbia",59,"Total","Total population",4051810,1
"British Columbia",59,"Total","Total with disability",1157610,0.28570194555026
"British Columbia",59,"Total","Mild",449650,0.110975095080964
"British Columbia",59,"Total","Moderate",254360,0.0627768824303213
"British Columbia",59,"Total","Severe",230480,0.0568832200917615
"British Columbia",59,"Total","Very severe",223120,0.0550667479472137
"British Columbia",59,"15-24","Total population",530080,1
"British Columbia",59,"15-24","Total with disability",104620,0.197366435255056
"British Columbia",59,"15-24","Mild",46140,0.0870434651373378
"British Columbia",59,"15-24","Moderate",22690,0.0428048596438273
"British Columbia",59,"15-24","Severe",22400,0.0422577724117114
"British Columbia",59,"15-24","Very severe",13390,0.0252603380621793
"British Columbia",59,"25-64","Total population",2625420,1
"British Columbia",59,"25-64","Total with disability",669050,0.254835416809501
"British Columbia",59,"25-64","Mild",275720,0.105019387374211
"British Columbia",59,"25-64","Moderate",145960,0.0555949143375155
"British Columbia",59,"25-64","Severe",129800,0.049439708694228
"British Columbia",59,"25-64","Very severe",117570,0.0447814064035469
"British Columbia",59,"25-44","Total population",1325120,1
"British Columbia",59,"25-44","Total with disability",285770,0.215655940594059
"British Columbia",59,"25-44","Mild",128810,0.0972062907510263
"British Columbia",59,"25-44","Moderate",59110,0.0446072808500362
"British Columbia",59,"25-44","Severe",51210,0.0386455566288336
"British Columbia",59,"25-44","Very severe",46630,0.0351892658778073
"British Columbia",59,"45-64","Total population",1300300,1
"British Columbia",59,"45-64","Total with disability",383280,0.294762747058371
"British Columbia",59,"45-64","Mild",146910,0.11298161962624
"British Columbia",59,"45-64","Moderate",86850,0.0667922787049142
"British Columbia",59,"45-64","Severe",78590,0.060439898484965
"British Columbia",59,"45-64","Very severe",70940,0.0545566407752057
"British Columbia",59,"65+","Total population",896310,1
"British Columbia",59,"65+","Total with disability",383940,0.428356260668742
"British Columbia",59,"65+","Mild",127790,0.14257343999286
"British Columbia",59,"65+","Moderate",85710,0.0956253974629313
"British Columbia",59,"65+","Severe",78280,0.0873358547823856
"British Columbia",59,"65+","Very severe",92160,0.102821568430565
"Yukon",60,"Total","Total population",32350,1
"Yukon",60,"Total","Total with disability",10170,0.314374034003091
"Yukon",60,"Total","Mild",4560,0.140958268933539
"Yukon",60,"Total","Moderate",2060,0.0636785162287481
"Yukon",60,"Total","Severe",2080,0.0642967542503864
"Yukon",60,"Total","Very severe",1480,0.0457496136012365
"Yukon",60,"15-24","Total population",4100,1
"Yukon",60,"15-24","Total with disability",NA,NA
"Yukon",60,"15-24","Mild",NA,NA
"Yukon",60,"15-24","Moderate",NA,NA
"Yukon",60,"15-24","Severe",NA,NA
"Yukon",60,"15-24","Very severe",NA,NA
"Yukon",60,"25-64","Total population",22590,1
"Yukon",60,"25-64","Total with disability",6440,0.285081894643648
"Yukon",60,"25-64","Mild",2890,0.127932713590084
"Yukon",60,"25-64","Moderate",1270,0.0562195661797255
"Yukon",60,"25-64","Severe",1460,0.064630367419212
"Yukon",60,"25-64","Very severe",NA,NA
"Yukon",60,"25-44","Total population",12170,1
"Yukon",60,"25-44","Total with disability",2780,0.228430566967954
"Yukon",60,"25-44","Mild",1510,0.124075595727198
