"ref_date","geo","dguid","shelter_type","target","shelter","beds"
2016,"Brampton, Ontario","3521010","Domestic violence shelter","General (women)",1,54
2016,"Brampton, Ontario","3521010","Domestic violence shelter","Total",1,54
2016,"Brampton, Ontario","3521010","Emergency shelter","Family",0,0
2016,"Brampton, Ontario","3521010","Emergency shelter","General (all)",0,0
2016,"Brampton, Ontario","3521010","Emergency shelter","General (men)",1,60
2016,"Brampton, Ontario","3521010","Emergency shelter","General (women)",0,0
2016,"Brampton, Ontario","3521010","Emergency shelter","Total",1,60
2016,"Brampton, Ontario","3521010","Emergency shelter","Youth",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","Family",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","General (all)",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","General (men)",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","General (women)",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","Total",0,0
2016,"Brampton, Ontario","3521010","Transitional housing","Youth",0,0
2016,"Brandon, Manitoba","4607062","Domestic violence shelter","General (women)",2,48
2016,"Brandon, Manitoba","4607062","Domestic violence shelter","Total",2,48
2016,"Brandon, Manitoba","4607062","Emergency shelter","Family",1,9
2016,"Brandon, Manitoba","4607062","Emergency shelter","General (all)",1,3
2016,"Brandon, Manitoba","4607062","Emergency shelter","General (men)",0,0
2016,"Brandon, Manitoba","4607062","Emergency shelter","General (women)",0,0
2016,"Brandon, Manitoba","4607062","Emergency shelter","Total",2,12
2016,"Brandon, Manitoba","4607062","Emergency shelter","Youth",0,0
2016,"Brandon, Manitoba","4607062","Transitional housing","Family",1,21
2016,"Brandon, Manitoba","4607062","Transitional housing","General (all)",1,10
2016,"Brandon, Manitoba","4607062","Transitional housing","General (men)",0,0
2016,"Brandon, Manitoba","4607062","Transitional housing","General (women)",0,0
2016,"Brandon, Manitoba","4607062","Transitional housing","Total",4,41
2016,"Brandon, Manitoba","4607062","Transitional housing","Youth",2,10
2016,"Brantford, Ontario","3529006","Domestic violence shelter","General (women)",1,30
2016,"Brantford, Ontario","3529006","Domestic violence shelter","Total",1,30
2016,"Brantford, Ontario","3529006","Emergency shelter","Family",0,0
