"ref_date","geo","dguid","field","value"
"2016/2017","Montreal","462","Agriculture, natural resources and conservation",3772
"2016/2017","Montreal","462","Dentistry",4086
"2016/2017","Montreal","462","Medicine",2571
"2016/2017","Montreal","462","Nursing",2850
"2016/2017","Montreal","462","Pharmacy",2555
"2016/2017","Montreal","462","Veterinary medicine",2481
"2016/2017","Montreal","462","Other health, parks, recreation and fitness",3138
"2016/2017","Montreal","462","Personal, protective and transportation services",2340
"2016/2017","Sherbrooke","433","Total, field of study",2771
"2016/2017","Sherbrooke","433","Education",2476
"2016/2017","Sherbrooke","433","Visual and performing arts, and communications technologies",4087
"2016/2017","Sherbrooke","433","Humanities",3259
"2016/2017","Sherbrooke","433","Social and behavioural sciences, and legal studies",3366
"2016/2017","Sherbrooke","433","Law",2340
"2016/2017","Sherbrooke","433","Business management and public administration",2899
"2016/2017","Sherbrooke","433","Physical and life sciences and technologies",3015
"2016/2017","Sherbrooke","433","Mathematics, computer and information sciences",2500
"2016/2017","Sherbrooke","433","Engineering",2361
"2016/2017","Sherbrooke","433","Agriculture, natural resources and conservation",2362
"2016/2017","Sherbrooke","433","Medicine",3116
"2016/2017","Sherbrooke","433","Nursing",2341
"2016/2017","Sherbrooke","433","Pharmacy",2486
"2016/2017","Sherbrooke","433","Other health, parks, recreation and fitness",2344
"2016/2017","Saguenay","408","Total, field of study",2351
"2016/2017","Saguenay","408","Education",2335
"2016/2017","Saguenay","408","Visual and performing arts, and communications technologies",2376
"2016/2017","Saguenay","408","Humanities",2435
"2016/2017","Saguenay","408","Social and behavioural sciences, and legal studies",2346
"2016/2017","Saguenay","408","Business management and public administration",2344
"2016/2017","Saguenay","408","Physical and life sciences and technologies",2328
"2016/2017","Saguenay","408","Mathematics, computer and information sciences",2328
"2016/2017","Saguenay","408","Engineering",2342
"2016/2017","Saguenay","408","Agriculture, natural resources and conservation",2328
"2016/2017","Saguenay","408","Nursing",2393
"2016/2017","Saguenay","408","Other health, parks, recreation and fitness",2328
"2016/2017","Rouyn-Noranda","485","Total, field of study",2346
"2016/2017","Rouyn-Noranda","485","Education",2340
"2016/2017","Rouyn-Noranda","485","Visual and performing arts, and communications technologies",2340
"2016/2017","Rouyn-Noranda","485","Social and behavioural sciences, and legal studies",2340
"2016/2017","Rouyn-Noranda","485","Business management and public administration",2353
"2016/2017","Rouyn-Noranda","485","Engineering",2340
"2016/2017","Rouyn-Noranda","485","Nursing",2340
"2016/2017","Trois-Rivières","442","Total, field of study",2357
"2016/2017","Trois-Rivières","442","Education",2328
"2016/2017","Trois-Rivières","442","Visual and performing arts, and communications technologies",2460
"2016/2017","Trois-Rivières","442","Humanities",2442
"2016/2017","Trois-Rivières","442","Social and behavioural sciences, and legal studies",2340
"2016/2017","Trois-Rivières","442","Business management and public administration",2352
"2016/2017","Trois-Rivières","442","Physical and life sciences and technologies",2381
"2016/2017","Trois-Rivières","442","Mathematics, computer and information sciences",2328
"2016/2017","Trois-Rivières","442","Engineering",2509
"2016/2017","Trois-Rivières","442","Nursing",2336
"2016/2017","Trois-Rivières","442","Other health, parks, recreation and fitness",2371
"2016/2017","Trois-Rivières","442","Personal, protective and transportation services",2328
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Total, field of study",2432
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Education",2368
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Visual and performing arts, and communications technologies",2393
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Humanities",2470
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Social and behavioural sciences, and legal studies",2408
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Business management and public administration",2491
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Mathematics, computer and information sciences",2419
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Engineering",2328
"2016/2017","Ottawa-Gatineau, Quebec part, Ontario/Quebec",NA,"Nursing",2386
"2016/2017","Québec","421","Total, field of study",2376
"2016/2017","Québec","421","Education",2350
"2016/2017","Québec","421","Visual and performing arts, and communications technologies",2394
"2016/2017","Québec","421","Humanities",2367
"2016/2017","Québec","421","Social and behavioural sciences, and legal studies",2358
"2016/2017","Québec","421","Law",2386
"2016/2017","Québec","421","Business management and public administration",2367
"2016/2017","Québec","421","Physical and life sciences and technologies",2412
"2016/2017","Québec","421","Mathematics, computer and information sciences",2371
"2016/2017","Québec","421","Engineering",2393
