"csd","date","topic","t_total","t_single","t_semi","t_row","t_apt","h_total","h_single","h_semi","h_row","h_apt","r_total","r_single","r_semi","r_row","r_apt","co_total","co_single","co_semi","co_row","co_apt","cp_total","cp_single","cp_semi","cp_row","cp_apt"
"1001485","2000-07-01","starts",150,150,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2001-07-01","starts",172,172,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2002-07-01","starts",217,217,0,0,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2003-07-01","starts",250,250,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2004-07-01","starts",281,281,0,0,0,281,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2005-07-01","starts",223,223,0,0,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2006-07-01","starts",170,170,0,0,0,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2007-07-01","starts",200,196,4,0,0,200,196,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2008-07-01","starts",316,279,0,0,37,279,279,0,0,0,10,0,0,0,10,27,0,0,0,27,0,0,0,0,0
"1001485","2009-07-01","starts",217,217,0,0,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2010-07-01","starts",241,231,0,10,0,231,231,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"1001485","2011-07-01","starts",235,232,0,3,0,232,232,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"1001485","2012-07-01","starts",262,245,2,15,0,251,245,0,6,0,0,0,0,0,0,11,0,2,9,0,0,0,0,0,0
"1001485","2013-07-01","starts",196,196,0,0,0,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2014-07-01","starts",183,174,0,9,0,183,174,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2015-07-01","starts",186,176,0,0,10,176,176,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"1001485","2016-07-01","starts",144,134,0,10,0,144,134,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2017-07-01","starts",154,118,22,4,10,144,118,22,4,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"1001485","2018-07-01","starts",137,119,4,12,2,135,119,4,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1001485","2019-07-01","starts",79,67,8,4,0,79,67,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2020-07-01","starts",59,57,2,0,0,59,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2021-07-01","starts",113,99,8,3,3,110,99,8,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1001485","2022-07-01","starts",136,118,18,0,0,136,118,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2023-07-01","starts",79,73,6,0,0,79,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2024-07-01","starts",94,78,16,0,0,94,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","2025-07-01","starts",144,120,10,8,6,138,120,10,8,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"1001485","1990-07-01","completions",140,121,4,0,15,125,121,4,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"1001485","1991-07-01","completions",202,196,0,0,6,202,196,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1992-07-01","completions",180,170,8,0,2,172,170,0,0,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1993-07-01","completions",171,152,0,0,19,159,152,0,0,7,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"1001485","1994-07-01","completions",214,194,8,8,4,198,194,0,0,4,16,0,8,8,0,0,0,0,0,0,0,0,0,0,0
"1001485","1995-07-01","completions",127,119,0,0,8,127,119,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1996-07-01","completions",132,128,0,0,4,132,128,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001485","1997-07-01","completions",129,121,0,0,8,129,121,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
