Name of Operating Agency,Housing/Shelter/Program Name,Ownership-Type,Housing-Type,Service/Support Model,Affordability Metric,Tenure-Model,Populations/Client Groups Served,# of beds,# of units,Studio,1-bed,2-bed,3-bed,4+-bed,County,Location (by community),CSD code,Referral Method
Renate,Renate,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,9,,,,,,Queens,Charlottetown,1102075,Self-referral
Westridge Estates,Westridge,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,16,,,,,,Queens,Charlottetown,1102075,Self-referral
Kensington Seniors,Kensingston Seniors,Provincial-Community Partnership,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",Seniors,,15,,,,,,Prince,Kensington,1103014,Self-referral
Confederation,Confederation,Co-operative,Co-operative,,Low-End of Market,"Long-term, rental/tenancy",General population,,11,,,,,,Prince,Summerside,1103025,Self-referral
PEI Dept. of Health & Wellness,Tignish Seniors Home Care Cooperative,Provincial-Community Partnership,Co-operative,,,Long-term Care,Seniors + Persons with Disabilities,,,,,,,,Prince,Tignish,1103059,Department of Health & Wellness
Community Connections,Winter Street,Non-Profit,Group Home,,,Community Care Facility,Individuals with disabilities,,6,,6,,,,Prince,Summerside,1103025,
Community Connections,Highland Avenue,Non-Profit,Group Home,,,Community Care Facility,Individuals with disabilities,,1,,,1,,,Prince,Summerside,1103025,
Community Connections,Granville Street,Non-Profit,Group Home,,,Community Care Facility,Individuals with disabilities,,2,,,,2,,Prince,Summerside,1103025,
Community Connections,Barbara Weit Road,Non-Profit,Group Home,,,Community Care Facility,Individuals with disabilities,,4,,4,,,,Prince,Summerside,1103025,
Community Connections,Court Street,Non-Profit,Group Home,,,Community Care Facility,Individuals with disabilities,,2,,2,,,,Prince,Summerside,1103025,
