"ref_date","dguid","index","value"
2024,1102002,"Housing",0.1036
2024,1102002,"Transportation",0.1201
2024,1102010,"Housing and transportation",0.2032
2024,1102010,"Housing",0.1159
2024,1102010,"Transportation",0.0873
2024,1102013,"Transportation",0.0951
2024,1102015,"Transportation",0.1033
2024,1102016,"Transportation",0.102
2024,1102017,"Housing and transportation",0.2147
2024,1102017,"Housing",0.1101
2024,1102017,"Transportation",0.1045
2024,1102018,"Transportation",0.1045
2024,1102019,"Transportation",0.1045
2024,1102021,"Transportation",0.0901
2024,1102022,"Transportation",0.0799
2024,1102034,"Transportation",0.143
2024,1102037,"Transportation",0.102
2024,1102040,"Housing and transportation",0.2162
2024,1102040,"Housing",0.109
2024,1102040,"Transportation",0.1072
2024,1102043,"Transportation",0.1264
2024,1102045,"Transportation",0.1045
2024,1102046,"Housing and transportation",0.2955
2024,1102046,"Housing",0.1465
2024,1102046,"Transportation",0.1491
2024,1102055,"Transportation",0.0973
2024,1102061,"Transportation",0.0962
2024,1102064,"Housing and transportation",0.2243
2024,1102064,"Housing",0.121
2024,1102064,"Transportation",0.1033
2024,1102066,"Transportation",0.093
2024,1102067,"Housing and transportation",0.2192
2024,1102067,"Housing",0.1328
2024,1102067,"Transportation",0.0864
2024,1102068,"Housing and transportation",0.2066
2024,1102068,"Housing",0.1165
2024,1102068,"Transportation",0.0901
2024,1102069,"Transportation",0.0941
2024,1102070,"Transportation",0.0855
2024,1102071,"Housing and transportation",0.1983
2024,1102071,"Housing",0.1021
2024,1102071,"Transportation",0.0962
2024,1102073,"Housing and transportation",0.2081
2024,1102073,"Housing",0.1171
2024,1102073,"Transportation",0.091
2024,1102075,"Housing and transportation",0.2981
2024,1102075,"Housing",0.1698
2024,1102075,"Transportation",0.1283
2024,1102080,"Housing and transportation",0.2489
2024,1102080,"Housing",0.1559
2024,1102080,"Transportation",0.093
2024,1102085,"Housing and transportation",0.2761
2024,1102085,"Housing",0.1765
2024,1102085,"Transportation",0.0996
2024,1103002,"Transportation",0.1023
2024,1103003,"Transportation",0.1094
2024,1103004,"Transportation",0.1175
2024,1103005,"Transportation",0.126
2024,1103007,"Transportation",0.106
2024,1103008,"Housing and transportation",0.2696
2024,1103008,"Housing",0.1588
2024,1103008,"Transportation",0.1107
2024,1103014,"Housing and transportation",0.2916
2024,1103014,"Housing",0.1549
2024,1103014,"Transportation",0.1367
2024,1103015,"Transportation",0.1233
2024,1103020,"Transportation",0.1087
2024,1103021,"Transportation",0.1094
2024,1103023,"Housing and transportation",0.1958
2024,1103023,"Housing",0.0885
2024,1103023,"Transportation",0.1073
2024,1103024,"Transportation",0.106
2024,1103025,"Housing and transportation",0.2877
2024,1103025,"Housing",0.1502
2024,1103025,"Transportation",0.1376
2024,1103027,"Transportation",0.1191
2024,1103029,"Transportation",0.1575
2024,1103035,"Housing and transportation",0.147
2024,1103035,"Housing",0.0112
2024,1103035,"Transportation",0.1358
2024,1103039,"Transportation",0.1288
2024,1103040,"Transportation",0.1167
2024,1103042,"Housing and transportation",0.3282
2024,1103042,"Housing",0.1441
2024,1103042,"Transportation",0.1842
2024,1103043,"Housing and transportation",0.2239
2024,1103043,"Housing",0.0922
2024,1103043,"Transportation",0.1317
2024,1103052,"Housing and transportation",0.303
2024,1103052,"Housing",0.1371
2024,1103052,"Transportation",0.1659
2024,1103053,"Transportation",0.0955
2024,1103055,"Housing and transportation",0.2068
2024,1103055,"Housing",0.0924
2024,1103055,"Transportation",0.1144
2024,1103059,"Housing and transportation",0.263
2024,1103059,"Housing",0.1077
2024,1103059,"Transportation",0.1552
2024,1103061,"Transportation",0.1011
2024,1103063,"Housing and transportation",0.2113
2024,1103063,"Housing",0.0786
2024,1103063,"Transportation",0.1327
2024,1103064,"Housing and transportation",0.1969
2024,1103064,"Housing",0.0934
2024,1103064,"Transportation",0.1035
2024,1103065,"Housing and transportation",0.2059
2024,1103065,"Housing",0.0808
2024,1103065,"Transportation",0.1251
2024,1103067,"Housing and transportation",0.2149
2024,1103067,"Housing",0.1138
2024,1103067,"Transportation",0.1011
2024,1201001,"Housing and transportation",0.243
2024,1201001,"Housing",0.086
2024,1201001,"Transportation",0.157
2024,1201004,"Housing and transportation",0.2899
2024,1201004,"Housing",0.1107
2024,1201004,"Transportation",0.1792
2024,1201006,"Housing and transportation",0.2766
2024,1201006,"Housing",0.1031
2024,1201006,"Transportation",0.1734
2024,1201008,"Housing and transportation",0.3241
2024,1201008,"Housing",0.122
2024,1201008,"Transportation",0.2021
2024,1201009,"Transportation",0.2117
2024,1202001,"Housing and transportation",0.1977
2024,1202001,"Housing",0.0917
2024,1202001,"Transportation",0.106
2024,1202004,"Housing and transportation",0.2293
2024,1202004,"Housing",0.1186
2024,1202004,"Transportation",0.1106
2024,1202006,"Housing and transportation",0.3234
2024,1202006,"Housing",0.1655
2024,1202006,"Transportation",0.1579
2024,1203001,"Housing and transportation",0.2731
2024,1203001,"Housing",0.0985
2024,1203001,"Transportation",0.1746
