"CSDUID","CDUID","PRUID","area_km2","cold_extrapolated","tnm20_2025","tnm20_2050","tnm15_2025","tnm15_2050","id_2025","id_2050","tnm20_2025_cd_mean","tnm20_2050_cd_mean","tnm15_2025_cd_mean","tnm15_2050_cd_mean","id_2025_cd_mean","id_2050_cd_mean","tnm20_2025_pr_mean","tnm20_2050_pr_mean","tnm15_2025_pr_mean","tnm15_2050_pr_mean","id_2025_pr_mean","id_2050_pr_mean","tnm20_2025_pctile_national","tnm20_2050_pctile_national","tnm15_2025_pctile_national","tnm15_2050_pctile_national","id_2025_pctile_national","id_2050_pctile_national"
"4710850","4710","47",4.04781919729994,FALSE,13.5,13,66,63.5,112.5,111,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,83.6,87.4,78.2,82.2,87,89.7
"4710851","4710","47",0.666681422993047,FALSE,13,13,66,64,112,111,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,82.1,87.4,78.2,82.8,86.5,89.7
"4710852","4710","47",2.65016856388556,FALSE,13.5,13,66,63,113.5,111,13.776302024013,12.5166516003863,68.1115005962816,64.8698415115686,112.643199471967,109.341054852364,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,83.6,87.4,78.2,81.5,87.9,89.7
"4711002","4711","47",0.689615174945002,FALSE,11,10,60,58,97,96,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,75.1,68.5,72.9,69.1,73.5
"4711003","4711","47",939.680496807572,FALSE,11.4642857142857,10.3214285714286,61.7142857142857,58.6785714285714,99.0357142857143,96.9642857142857,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,74.5,77.2,70.8,74,71.2,74.6
"4711004","4711","47",1.29845623277691,FALSE,11,10,62.5,59,100.5,98,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,75.1,72,74.8,73.1,75.9
"4711006","4711","47",760.372700679586,FALSE,12,9.85714285714286,62.0476190476191,57.4761904761905,97.8571428571429,95.4761904761905,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,73.2,71.6,72,69.7,73
"4711007","4711","47",0.270627798534684,FALSE,12,10,61,57,97,94,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,75.1,69.9,71.3,69.1,71.6
"4711008","4711","47",1.34451214554835,FALSE,12,10,62,59,100,98,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,75.1,71.3,74.8,72.3,75.9
"4711009","4711","47",1.44598511100004,FALSE,12,9,61,56,94,92,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,69.5,69.9,70,65.7,69.8
"4711056","4711","47",2.64651765894196,FALSE,12,9.5,64.5,60,102.5,102,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,72.4,76,76.9,75.5,80.7
"4706064","4706","47",0.66026827991619,FALSE,10,9,59,55,92,89,11.0699471613092,10.3595013395208,61.4007183750504,58.5284379769027,97.6478256498297,93.7415923968266,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,65.9,69.5,67.1,68.9,63.3,66.3
"4707038","4707","47",784.968006954025,FALSE,10.0416666666667,9,55.375,49.9166666666667,85.7083333333333,78.875,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,67.2,69.5,63.4,64.1,57.3,56.6
"4707039","4707","47",66.7501725355834,FALSE,10,9,54.8,48.8,84.4,77.2,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,65.9,69.5,62.7,63.3,56.2,55.1
"4707042","4707","47",811.443769944388,FALSE,10.6363636363636,9,57.6060606060606,52.3636363636364,88.0909090909091,83.5454545454545,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,68.3,69.5,65.6,66.5,59.6,61.2
"4707043","4707","47",0.65094450279002,FALSE,10,9,56,51.5,87,80,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,65.9,69.5,64.1,65.6,58.5,57.7
"4707044","4707","47",0.651857361602935,FALSE,11,9,58,52,86,83,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,69.5,66,66.1,57.6,60.4
"4707045","4707","47",1.7698128081609,FALSE,10,9,58,53,88.5,85.5,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,65.9,69.5,66,67.1,60.1,63.3
"4713046","4713","47",876.137099438085,FALSE,11.2142857142857,9.78571428571429,59.1428571428571,55.2142857142857,93.8928571428571,88.2142857142857,11.7462673924968,9.72066260525373,61.6807108733473,57.0730881755623,97.7369193304533,92.1874600158055,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,73.9,73,67.5,69.2,65.4,65.6
"4707047","4707","47",847.135618139534,FALSE,10.3,9,56.4,52.1,87.1666666666667,81.3666666666667,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,67.6,69.5,64.5,66.3,58.8,58.8
"4707048","4707","47",2.61891791737723,FALSE,11,9,57,52,88,84,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,69.5,65.2,66.1,59.5,61.8
"4707049","4707","47",2.62848003079393,FALSE,11,9,58,53,89,85,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,71.2,69.5,66,67.1,60.5,62.9
"4707051","4707","47",7.41380742052858,FALSE,10,9,58,53.5,89,86,9.82912974547249,8.79109077092324,54.5553631075347,49.588186157509,85.5921856283859,78.7199514191724,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,65.9,69.5,66,67.6,60.5,63.7
"5951811","5951","59",0.72140151776433,FALSE,8,6,38,30,85,70,7.50025825876502,5.77246847003541,38.407279424908,31.4266398665965,83.9251993073121,71.324867088162,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,57.2,55.5,47.5,46.4,56.6,46.1
"5951813","5951","59",2.42693601931362,FALSE,8,6,39,33,66.5,58,7.50025825876502,5.77246847003541,38.407279424908,31.4266398665965,83.9251993073121,71.324867088162,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,57.2,55.5,48.5,49.6,35.3,31.5
"5951814","5951","59",5.41776047201901,FALSE,7,6,37,29,80,65,7.50025825876502,5.77246847003541,38.407279424908,31.4266398665965,83.9251993073121,71.324867088162,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,54,55.5,46.2,45.1,51.2,40
"5951815","5951","59",0.53181464691902,FALSE,7,6,35,28,72,60,7.50025825876502,5.77246847003541,38.407279424908,31.4266398665965,83.9251993073121,71.324867088162,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,54,55.5,42.8,43.1,41,33.6
"4716871","4716","47",6.045974955635,FALSE,15.5,12,72.8333333333333,64.3333333333333,113,106.666666666667,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,88,82.2,86.2,83.2,87.4,86.2
"4716872","4716","47",9.8289935223644,FALSE,16,12,71.5,64.75,113.75,107,15.9151332894675,12.0995422916472,74.0344775262972,66.9460699194331,111.229323328781,106.214809084769,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,89.7,82.2,85,83.6,88,86.4
"4711042","4711","47",847.93688115979,FALSE,12,11.4583333333333,64.875,62.2916666666667,103.541666666667,100.208333333333,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,79.7,76.4,80.8,76.7,78.6
"4711046","4711","47",838.530063430593,FALSE,12.875,12,66.9583333333333,63.7916666666667,107.208333333333,105,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,80.9,82.2,79.6,82.5,81.1,84
"4711048","4711","47",0.641672937487838,FALSE,12,12,67.5,64.5,107,106,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,82.2,80.7,83.4,80.8,85.4
"4711049","4711","47",8.2201381396816,FALSE,12,12,68,65,109,108,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,77.6,82.2,81.3,84,83,87.3
"4711052","4711","47",878.460132589626,FALSE,11.9,10.1,64.5,60.1666666666667,103.833333333333,102.166666666667,11.7517132411034,10.3021796656202,63.5598714549371,58.2994904785877,101.304635094657,98.5511063799547,17.1391928488381,13.6938706669206,82.7180195324498,74.2844009333215,120.116853958399,113.612725754397,75.9,76.9,76,77.5,76.9,81
"4617048","4617","46",1624.38164311401,FALSE,14.9047619047619,13.8809523809524,73.1190476190476,69.7380952380952,110.238095238095,108.857142857143,15.3390100803509,14.1004317989398,74.079199083357,70.6261584362827,112.498012891103,110.180406745407,22.4053911179234,17.0868302245254,102.180577619778,94.2225605365368,142.802113982018,138.492926558783,85.7,90.8,86.7,89.4,84.5,87.8
"3518009","3518","35",147.725088465337,FALSE,0,0,9.875,5.75,41.875,36.5,0.266638838493378,0,12.9117482319132,8.15742711321844,48.1567835477177,43.2594258064162,13.8987391488306,10.727959038994,71.0338957581963,66.5289013685167,111.474729018058,106.001569095758,11.6,15.3,17.9,17.6,14,15.3
"4811802","4811","48",19.9240185866949,FALSE,10,8,51.3333333333333,44.6666666666667,78.3333333333333,65.6666666666667,9.77812945435822,7.72697614683665,52.0505476403581,45.1826079339885,80.060924595351,68.2687649828413,13.8274823932797,10.8078198262754,71.501299578259,61.520710467022,102.477574571663,90.9003207177826,65.9,64.8,58.9,59.6,49.1,41
"5923825","5923","59",0.137855445850362,FALSE,0,0,0,0,0,0,0,0,0.00341930323690342,0,3.3508600101859,1.07936702300255,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,11.6,15.3,3.2,4,0.4,0.9
"5941811","5941","59",3.51398389408066,FALSE,6,5,31.75,22.75,59,47.25,6.77305591239816,5.42585880809702,37.7680173336187,30.0410119533829,74.6228987560675,60.2848227377262,7.69271747940691,5.91810076528544,42.2667277440713,35.4195205150482,82.978176893392,73.2763079075287,51.7,52.3,39.2,35.7,26.7,22.5
"6104017","6104","61",133.79772864816,FALSE,23,16,115.090909090909,97.2727272727273,149.272727272727,140.090909090909,27.3497215387359,21.1097167894843,131.704551631605,115.013336344207,161.736992824542,158.14528035903,53.6029741509801,39.9421836046101,165.927664881115,149.969305177982,215.648489955019,210.283977093571,97.7,96.8,98.1,97.3,97.2,97.2
