"CSDUID","CDUID","PRUID","fwi","dc","fwi_cd_mean","fwi_pr_mean","dc_cd_mean","dc_pr_mean","fwi_ratio_cd","fwi_ratio_pr","fwi_ratio_national","fwi_diff_cd","fwi_diff_pr","fwi_diff_national","fwi_pctile_national","dc_ratio_cd","dc_ratio_pr","dc_ratio_national","dc_diff_cd","dc_diff_pr","dc_diff_national","dc_pctile_national"
"1001277","1001","10",3.09802150726318,173.869677734375,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.99,1.111,0.503,-0.03,0.31,-3.06,5.1,1.057,1.088,0.543,9.37,14.12,-146.18,8.3
"1001219","1001","10",2.56800003051758,149.558065795898,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.82,0.921,0.417,-0.56,-0.22,-3.59,2.4,0.909,0.936,0.467,-14.94,-10.19,-170.5,2.2
"1001263","1001","10",2.15182795127233,149.83772277832,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.687,0.771,0.349,-0.98,-0.64,-4.01,1.6,0.911,0.938,0.468,-14.66,-9.91,-170.22,2.3
"1001225","1001","10",2.55625190053667,149.979110717773,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.817,0.916,0.415,-0.57,-0.23,-3.6,2.4,0.912,0.939,0.469,-14.52,-9.77,-170.07,2.3
"1002009","1002","10",2.59335833094841,133.328720092773,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.083,0.93,0.421,0.2,-0.2,-3.56,2.6,0.922,0.835,0.417,-11.32,-26.42,-186.73,0.3
"1004013","1004","10",3.95866673333304,146.399693080357,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,1.683,1.419,0.643,1.61,1.17,-2.2,11.2,1.027,0.916,0.457,3.87,-13.35,-173.65,1.7
"1001228","1001","10",2.39776873588562,146.926612854004,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.766,0.86,0.389,-0.73,-0.39,-3.76,2,0.893,0.92,0.459,-17.57,-12.83,-173.13,1.8
"1003028","1003","10",1.81841397285461,104.624460220337,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.031,0.652,0.295,0.05,-0.97,-4.34,0.8,0.766,0.655,0.327,-32.01,-55.13,-215.43,0
"1001234","1001","10",1.98004174092237,145.082428158031,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.633,0.71,0.322,-1.15,-0.81,-4.18,1,0.882,0.908,0.453,-19.41,-14.67,-174.97,1.5
"1001240","1001","10",2.11029271947013,143.394443935818,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.674,0.757,0.343,-1.02,-0.68,-4.05,1.5,0.872,0.898,0.448,-21.1,-16.36,-176.66,1.2
"1005006","1005","10",6.1923656463623,188.919462585449,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.621,2.22,1.006,2.37,3.4,0.03,35.8,1.084,1.183,0.59,14.64,29.17,-131.13,14.5
"1003012","1003","10",1.68053758144379,133.380645751953,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,0.952,0.602,0.273,-0.08,-1.11,-4.48,0.5,0.976,0.835,0.417,-3.26,-26.37,-186.67,0.3
"1002030","1002","10",1.89224908749262,148.086259629991,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.79,0.678,0.307,-0.5,-0.9,-4.27,0.8,1.024,0.927,0.463,3.44,-11.67,-171.97,2
"1001144","1001","10",3.15961298942566,162.858065795898,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.009,1.133,0.513,0.03,0.37,-3,5.4,0.99,1.019,0.509,-1.64,3.11,-157.2,4.9
"1001178","1001","10",2.8969501582059,153.562563809482,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.925,1.039,0.47,-0.23,0.11,-3.26,4,0.934,0.961,0.48,-10.93,-6.19,-166.49,2.7
"1003034","1003","10",2.33694792710818,142.380893413837,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.325,0.838,0.38,0.57,-0.45,-3.82,1.8,1.042,0.891,0.445,5.74,-17.37,-177.67,1
"1004001","1004","10",1.51735316184552,142.56842600781,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,0.645,0.544,0.246,-0.83,-1.27,-4.64,0.3,1,0.892,0.445,0.04,-17.18,-177.49,1.1
"1001124","1001","10",2.84284521000726,161.754062713139,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.908,1.019,0.462,-0.29,0.05,-3.31,3.9,0.983,1.013,0.505,-2.74,2,-158.3,4.4
"1005007","1005","10",5.42542515033629,184.332793296256,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.421,1.945,0.881,1.61,2.64,-0.73,25.5,1.058,1.154,0.576,10.05,24.58,-135.72,12.2
"1001126","1001","10",3.610107421875,174.51505279541,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.153,1.294,0.586,0.48,0.82,-2.55,7.9,1.061,1.092,0.545,10.02,14.76,-145.54,8.5
"1001464","1001","10",3.92407411999173,181.93393113878,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.254,1.407,0.637,0.79,1.13,-2.23,11,1.106,1.139,0.568,17.44,22.18,-138.12,11.1
"1001298","1001","10",2.97330644726753,166.822980880737,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.95,1.066,0.483,-0.16,0.18,-3.18,4.4,1.014,1.044,0.521,2.33,7.07,-153.23,6.1
"1002029","1002","10",1.88640825402352,145.517950242566,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.788,0.676,0.306,-0.51,-0.9,-4.27,0.8,1.006,0.911,0.455,0.87,-14.23,-174.54,1.5
"1002031","1002","10",1.91338597689427,143.597438891399,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.799,0.686,0.311,-0.48,-0.88,-4.24,0.9,0.993,0.899,0.449,-1.05,-16.16,-176.46,1.3
"1002037","1002","10",2.15417199134827,140.052044677734,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.9,0.772,0.35,-0.24,-0.64,-4,1.6,0.968,0.877,0.438,-4.59,-19.7,-180,0.8
"1001304","1001","10",3.45604839691749,177.573615734394,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.104,1.239,0.561,0.33,0.67,-2.7,6.8,1.08,1.112,0.555,13.08,17.82,-142.48,9.3
"1002021","1002","10",3.47396874427795,144.698046597567,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.451,1.245,0.564,1.08,0.68,-2.68,7,1,0.906,0.452,0.05,-15.05,-175.36,1.4
"1001312","1001","10",3.86587483232672,182.39833762429,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.235,1.386,0.628,0.74,1.08,-2.29,10.4,1.109,1.142,0.57,17.9,22.65,-137.66,11.3
"1001321","1001","10",3.77555791536967,180.287694973416,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.206,1.354,0.613,0.65,0.99,-2.38,9.6,1.096,1.129,0.563,15.79,20.54,-139.77,10.5
"1001565","1001","10",4.23346300335491,183.251454297234,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.352,1.518,0.688,1.1,1.44,-1.92,13.1,1.114,1.147,0.573,18.76,23.5,-136.8,11.7
"1002002","1002","10",3.17516142129898,142.319622039795,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.326,1.138,0.516,0.78,0.39,-2.98,5.4,0.984,0.891,0.445,-2.33,-17.43,-177.73,1
"1002006","1002","10",2.55174499750137,133.476370811462,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.066,0.915,0.414,0.16,-0.24,-3.61,2.4,0.923,0.836,0.417,-11.17,-26.28,-186.58,0.4
"1002011","1002","10",2.91069895029068,133.577690124512,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.216,1.043,0.473,0.52,0.12,-3.25,4.1,0.923,0.836,0.417,-11.07,-26.17,-186.48,0.4
"1001421","1001","10",3.45560443762577,175.818475896662,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.104,1.239,0.561,0.33,0.67,-2.7,6.8,1.069,1.101,0.549,11.32,16.07,-144.24,8.9
"1001332","1001","10",4.1922580242157,184.433978271484,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.339,1.503,0.681,1.06,1.4,-1.97,12.7,1.121,1.154,0.576,19.94,24.68,-135.62,12.3
"1001405","1001","10",3.66802418231964,178.332324981689,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.172,1.315,0.596,0.54,0.88,-2.49,8.4,1.084,1.116,0.557,13.84,18.58,-141.72,9.6
"1001415","1001","10",4.56408596038818,187.328498840332,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.458,1.636,0.741,1.43,1.77,-1.59,15.8,1.139,1.173,0.585,22.83,27.58,-132.73,13.6
"1001452","1001","10",3.61976214611169,178.030530987364,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.156,1.298,0.588,0.49,0.83,-2.54,8,1.082,1.114,0.556,13.53,18.28,-142.02,9.5
"1001347","1001","10",4.37096774578094,179.915054321289,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.396,1.567,0.71,1.24,1.58,-1.79,14.4,1.094,1.126,0.562,15.42,20.16,-140.14,10.3
"1005008","1005","10",4.04850801825523,189.375942230225,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.06,1.451,0.657,0.23,1.26,-2.11,11.9,1.087,1.185,0.592,15.09,29.62,-130.68,14.8
"1001426","1001","10",4.26627960205078,184.580432128906,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.363,1.529,0.693,1.14,1.48,-1.89,13.4,1.122,1.155,0.577,20.08,24.83,-135.47,12.4
"1001379","1001","10",4.25821499824524,185.690536499023,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.36,1.527,0.692,1.13,1.47,-1.9,13.3,1.129,1.162,0.58,21.19,25.94,-134.36,12.8
"1002018","1002","10",2.38585529544137,132.117204839533,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,0.997,0.855,0.387,-0.01,-0.4,-3.77,2,0.913,0.827,0.413,-12.53,-27.64,-187.94,0.2
"1001429","1001","10",4.5273118019104,186.762155151367,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.446,1.623,0.735,1.4,1.74,-1.63,15.6,1.135,1.169,0.584,22.27,27.01,-133.29,13.4
"1001394","1001","10",NA,NA,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003019","1003","10",2.12239241600037,146.93628692627,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.203,0.761,0.345,0.36,-0.67,-4.04,1.5,1.075,0.92,0.459,10.3,-12.82,-173.12,1.8
"1003004","1003","10",NA,NA,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1005004","1005","10",7.22246850055197,180.373445593792,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.891,2.589,1.173,3.4,4.43,1.06,47.2,1.035,1.129,0.564,6.09,20.62,-139.68,10.6
"1001441","1001","10",3.96290342013041,182.9326171875,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.266,1.421,0.644,0.83,1.17,-2.19,11.3,1.112,1.145,0.572,18.44,23.18,-137.12,11.5
"1002001","1002","10",2.89110109329224,138.689332885742,2.39411844428798,2.78939384473745,144.645482248125,159.752544477437,1.208,1.036,0.47,0.5,0.1,-3.27,4,0.959,0.868,0.433,-5.96,-21.06,-181.36,0.7
"1001446","1001","10",4.55655932426453,187.656448364258,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.456,1.634,0.74,1.43,1.77,-1.6,15.8,1.141,1.175,0.586,23.16,27.9,-132.4,13.9
"1001557","1001","10",4.54582781791687,187.811611938477,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.452,1.63,0.738,1.42,1.76,-1.61,15.7,1.142,1.176,0.587,23.32,28.06,-132.24,14
"1003033","1003","10",2.17357528209686,144.436023712158,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,1.232,0.779,0.353,0.41,-0.62,-3.98,1.6,1.057,0.904,0.451,7.8,-15.32,-175.62,1.4
"1004037","1004","10",3.62792595227559,154.490320841471,2.35198340836106,2.78939384473745,142.525832386543,159.752544477437,1.542,1.301,0.589,1.28,0.84,-2.53,8.2,1.084,0.967,0.483,11.96,-5.26,-165.56,2.9
"1005003","1005","10",2.25537353720331,161.279856789705,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,0.591,0.809,0.366,-1.56,-0.53,-3.9,1.7,0.925,1.01,0.504,-13,1.53,-158.77,4.2
"1001267","1001","10",3.03618276119232,167.780918121338,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.97,1.088,0.493,-0.09,0.25,-3.12,4.8,1.02,1.05,0.524,3.29,8.03,-152.27,6.5
"1001270","1001","10",3.06315406163534,171.96630859375,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.979,1.098,0.497,-0.07,0.27,-3.09,4.9,1.045,1.076,0.537,7.47,12.21,-148.09,8
"1001274","1001","10",3.12575683226952,173.066584660457,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.999,1.121,0.508,0,0.34,-3.03,5.2,1.052,1.083,0.541,8.57,13.31,-146.99,8.2
"1001281","1001","10",2.37666666507721,161.611831665039,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,0.759,0.852,0.386,-0.75,-0.41,-3.78,1.9,0.982,1.012,0.505,-2.88,1.86,-158.44,4.3
"1005005","1005","10",3.10241937637329,178.258605957031,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,0.812,1.112,0.504,-0.72,0.31,-3.06,5.1,1.023,1.116,0.557,3.98,18.51,-141.8,9.5
"1001542","1001","10",5.50362525667463,193.22887965611,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.758,1.973,0.894,2.37,2.71,-0.65,26.6,1.175,1.21,0.604,28.73,33.48,-126.83,17.1
"1003045","1003","10",NA,NA,1.76439093853891,2.78939384473745,136.635926031346,159.752544477437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1001391","1001","10",4.64021492004395,187.821502685547,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.482,1.664,0.754,1.51,1.85,-1.52,16.7,1.142,1.176,0.587,23.33,28.07,-132.23,14
"1001505","1001","10",5.30864996380276,179.24683464898,3.13019161614513,2.78939384473745,164.495798042864,159.752544477437,1.696,1.903,0.862,2.18,2.52,-0.85,23.8,1.09,1.122,0.56,14.75,19.49,-140.81,9.9
"1005001","1005","10",4.11416130743656,178.527956812515,3.81893740837083,2.78939384473745,174.283438281691,159.752544477437,1.077,1.475,0.668,0.3,1.32,-2.04,12.3,1.024,1.118,0.558,4.24,18.78,-141.53,9.7
