"year","geo","dguid","age","type","value"
2021,"Canada","1","80 to 84","service collective",1135
2021,"Canada","1","80 to 84","lodging and rooming houses",355
2021,"Canada","1","80 to 84","hotels, motels, and temporary accommodation",435
2021,"Canada","1","80 to 84","other service collective",345
2021,"Canada","1","80 to 84","religious establishments",1195
2021,"Canada","1","80 to 84","hutterite colonies",435
2021,"Canada","1","80 to 84","other",105
2021,"Canada","1","85+","total",237865
2021,"Canada","1","85+","health care and related",233190
2021,"Canada","1","85+","hospitals",3780
2021,"Canada","1","85+","nursing homes",100130
2021,"Canada","1","85+","senior residences",88980
2021,"Canada","1","85+","mix of nursing home and senior residences",38405
2021,"Canada","1","85+","residential care facilities",1900
2021,"Canada","1","85+","correctional facilities",50
2021,"Canada","1","85+","shelters",25
2021,"Canada","1","85+","service collective",1530
2021,"Canada","1","85+","lodging and rooming houses",420
2021,"Canada","1","85+","hotels, motels, and temporary accommodation",595
2021,"Canada","1","85+","other service collective",515
2021,"Canada","1","85+","religious establishments",2635
2021,"Canada","1","85+","hutterite colonies",290
2021,"Canada","1","85+","other",145
2021,"Newfoundland and Labrador","10","Total","total",8420
2021,"Newfoundland and Labrador","10","Total","health care and related",6825
2021,"Newfoundland and Labrador","10","Total","hospitals",330
2021,"Newfoundland and Labrador","10","Total","nursing homes",3180
2021,"Newfoundland and Labrador","10","Total","senior residences",1930
2021,"Newfoundland and Labrador","10","Total","mix of nursing home and senior residences",600
2021,"Newfoundland and Labrador","10","Total","residential care facilities",780
2021,"Newfoundland and Labrador","10","Total","correctional facilities",755
2021,"Newfoundland and Labrador","10","Total","shelters",95
2021,"Newfoundland and Labrador","10","Total","service collective",505
2021,"Newfoundland and Labrador","10","Total","lodging and rooming houses",340
2021,"Newfoundland and Labrador","10","Total","hotels, motels, and temporary accommodation",90
2021,"Newfoundland and Labrador","10","Total","other service collective",75
2021,"Newfoundland and Labrador","10","Total","religious establishments",80
2021,"Newfoundland and Labrador","10","Total","hutterite colonies",0
2021,"Newfoundland and Labrador","10","Total","other",155
2021,"Newfoundland and Labrador","10","0 to 14","total",40
2021,"Newfoundland and Labrador","10","0 to 14","health care and related",25
2021,"Newfoundland and Labrador","10","0 to 14","hospitals",5
2021,"Newfoundland and Labrador","10","0 to 14","nursing homes",0
2021,"Newfoundland and Labrador","10","0 to 14","senior residences",0
2021,"Newfoundland and Labrador","10","0 to 14","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","0 to 14","residential care facilities",20
2021,"Newfoundland and Labrador","10","0 to 14","correctional facilities",0
2021,"Newfoundland and Labrador","10","0 to 14","shelters",0
2021,"Newfoundland and Labrador","10","0 to 14","service collective",10
2021,"Newfoundland and Labrador","10","0 to 14","lodging and rooming houses",0
2021,"Newfoundland and Labrador","10","0 to 14","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","0 to 14","other service collective",10
2021,"Newfoundland and Labrador","10","0 to 14","religious establishments",0
2021,"Newfoundland and Labrador","10","0 to 14","hutterite colonies",0
2021,"Newfoundland and Labrador","10","0 to 14","other",0
2021,"Newfoundland and Labrador","10","15 to 19","total",140
2021,"Newfoundland and Labrador","10","15 to 19","health care and related",75
2021,"Newfoundland and Labrador","10","15 to 19","hospitals",0
2021,"Newfoundland and Labrador","10","15 to 19","nursing homes",0
2021,"Newfoundland and Labrador","10","15 to 19","senior residences",0
2021,"Newfoundland and Labrador","10","15 to 19","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","15 to 19","residential care facilities",75
2021,"Newfoundland and Labrador","10","15 to 19","correctional facilities",10
2021,"Newfoundland and Labrador","10","15 to 19","shelters",5
2021,"Newfoundland and Labrador","10","15 to 19","service collective",40
2021,"Newfoundland and Labrador","10","15 to 19","lodging and rooming houses",20
2021,"Newfoundland and Labrador","10","15 to 19","hotels, motels, and temporary accommodation",0
2021,"Newfoundland and Labrador","10","15 to 19","other service collective",20
2021,"Newfoundland and Labrador","10","15 to 19","religious establishments",0
2021,"Newfoundland and Labrador","10","15 to 19","hutterite colonies",0
2021,"Newfoundland and Labrador","10","15 to 19","other",15
2021,"Newfoundland and Labrador","10","15 to 17","total",85
2021,"Newfoundland and Labrador","10","15 to 17","health care and related",65
2021,"Newfoundland and Labrador","10","15 to 17","hospitals",0
2021,"Newfoundland and Labrador","10","15 to 17","nursing homes",0
2021,"Newfoundland and Labrador","10","15 to 17","senior residences",0
2021,"Newfoundland and Labrador","10","15 to 17","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","15 to 17","residential care facilities",65
2021,"Newfoundland and Labrador","10","15 to 17","correctional facilities",0
2021,"Newfoundland and Labrador","10","15 to 17","shelters",0
2021,"Newfoundland and Labrador","10","15 to 17","service collective",10
2021,"Newfoundland and Labrador","10","15 to 17","lodging and rooming houses",5
2021,"Newfoundland and Labrador","10","15 to 17","hotels, motels, and temporary accommodation",0
2021,"Newfoundland and Labrador","10","15 to 17","other service collective",5
2021,"Newfoundland and Labrador","10","15 to 17","religious establishments",0
2021,"Newfoundland and Labrador","10","15 to 17","hutterite colonies",0
2021,"Newfoundland and Labrador","10","15 to 17","other",5
2021,"Newfoundland and Labrador","10","18 to 19","total",55
2021,"Newfoundland and Labrador","10","18 to 19","health care and related",5
2021,"Newfoundland and Labrador","10","18 to 19","hospitals",0
2021,"Newfoundland and Labrador","10","18 to 19","nursing homes",0
2021,"Newfoundland and Labrador","10","18 to 19","senior residences",0
2021,"Newfoundland and Labrador","10","18 to 19","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","18 to 19","residential care facilities",5
2021,"Newfoundland and Labrador","10","18 to 19","correctional facilities",10
2021,"Newfoundland and Labrador","10","18 to 19","shelters",5
2021,"Newfoundland and Labrador","10","18 to 19","service collective",30
2021,"Newfoundland and Labrador","10","18 to 19","lodging and rooming houses",15
2021,"Newfoundland and Labrador","10","18 to 19","hotels, motels, and temporary accommodation",0
2021,"Newfoundland and Labrador","10","18 to 19","other service collective",10
2021,"Newfoundland and Labrador","10","18 to 19","religious establishments",0
2021,"Newfoundland and Labrador","10","18 to 19","hutterite colonies",0
2021,"Newfoundland and Labrador","10","18 to 19","other",10
2021,"Newfoundland and Labrador","10","20 to 24","total",230
2021,"Newfoundland and Labrador","10","20 to 24","health care and related",25
2021,"Newfoundland and Labrador","10","20 to 24","hospitals",0
2021,"Newfoundland and Labrador","10","20 to 24","nursing homes",0
2021,"Newfoundland and Labrador","10","20 to 24","senior residences",0
2021,"Newfoundland and Labrador","10","20 to 24","mix of nursing home and senior residences",0
2021,"Newfoundland and Labrador","10","20 to 24","residential care facilities",25
2021,"Newfoundland and Labrador","10","20 to 24","correctional facilities",70
2021,"Newfoundland and Labrador","10","20 to 24","shelters",20
2021,"Newfoundland and Labrador","10","20 to 24","service collective",65
