"CSDUID","CDUID","PRUID","area_km2","temp_historical","temp_2025","temp_2050","temp_change_hist_2025","temp_change_hist_2050","temp_change_2025_2050","temp_extrapolated","temp_historical_cd_mean","temp_2025_cd_mean","temp_2050_cd_mean","temp_change_hist_2025_cd_mean","temp_change_hist_2050_cd_mean","temp_change_2025_2050_cd_mean","temp_historical_pr_mean","temp_2025_pr_mean","temp_2050_pr_mean","temp_change_hist_2025_pr_mean","temp_change_hist_2050_pr_mean","temp_change_2025_2050_pr_mean","temp_historical_pctile_national","temp_2025_pctile_national","temp_2050_pctile_national","temp_change_hist_2025_pctile_national","temp_change_hist_2050_pctile_national","temp_change_2025_2050_pctile_national","temp_historical_diff_cd","temp_2025_diff_cd","temp_2050_diff_cd","temp_change_hist_2025_diff_cd","temp_change_hist_2050_diff_cd","temp_change_2025_2050_diff_cd","temp_historical_diff_pr","temp_2025_diff_pr","temp_2050_diff_pr","temp_change_hist_2025_diff_pr","temp_change_hist_2050_diff_pr","temp_change_2025_2050_diff_pr","temp_historical_diff_national","temp_2025_diff_national","temp_2050_diff_national","temp_change_hist_2025_diff_national","temp_change_hist_2050_diff_national","temp_change_2025_2050_diff_national"
"5909809","5909","59",0.371009152861987,22.1440734863281,24.3092956542969,25.8849182128906,2.17,3.74,1.58,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,44.8,48.4,53,72.8,83.4,83.7,3.49,3.47,3.59,-0.01,0.09,0.12,4.85,5.17,5.64,0.33,0.79,0.47,8.73,9.19,9.87,0.46,1.14,0.69
"5909810","5909","59",0.659639311022745,21.4154663085938,23.5851745605469,25.1256103515625,2.17,3.71,1.54,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,30.1,34,42.3,72.8,82.2,80.6,2.76,2.75,2.83,-0.01,0.06,0.08,4.12,4.45,4.88,0.33,0.76,0.43,8,8.46,9.11,0.46,1.11,0.65
"5909812","5909","59",0.880511493822061,21.9351806640625,24.0675659179688,25.6675415039062,2.13,3.73,1.6,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,40.4,45.2,50.3,68.7,83,84.9,3.28,3.23,3.37,-0.05,0.08,0.14,4.64,4.93,5.42,0.29,0.78,0.49,8.52,8.94,9.65,0.42,1.13,0.71
"5909853","5909","59",1.44132483623268,22.3202667236328,24.4481353759766,25.9763031005859,2.13,3.66,1.53,FALSE,18.6550468780606,20.8398118502899,22.2974672723255,2.18414610395657,3.64507580765344,1.45695949330121,17.2928875287977,19.1359535328164,20.2453086616057,1.84284877891137,2.95167596314351,1.10903831291448,47.5,50.2,54.2,68.7,79.7,79.6,3.67,3.61,3.68,-0.05,0.01,0.07,5.03,5.31,5.73,0.29,0.71,0.42,8.9,9.32,9.96,0.42,1.06,0.64
"4714036","4714","47",0.82908017509452,22.4768371582031,24.5673522949219,25.9989013671875,2.09,3.52,1.43,FALSE,22.5817297581878,24.7157307257295,25.874103385738,2.13187763438552,3.29452061619194,1.15812859775565,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,49.9,51.9,54.6,64.4,74.7,73.1,-0.1,-0.15,0.12,-0.04,0.23,0.27,0.54,0.49,0.66,-0.05,0.11,0.16,9.06,9.44,9.99,0.38,0.92,0.54
"4708058","4708","47",1.69513396675939,25.2607421875,27.65771484375,29.1767272949219,2.4,3.92,1.52,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,98.2,97.7,97.6,88.8,88.6,78.4,0.36,0.4,0.27,0.04,-0.09,-0.13,3.33,3.58,3.83,0.26,0.51,0.25,11.84,12.53,13.16,0.69,1.32,0.63
"4708059","4708","47",0.588343199592496,25.1813659667969,27.55712890625,29.0927886962891,2.38,3.91,1.54,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,97.6,97,96.9,87.7,88.3,80.6,0.29,0.3,0.19,0.02,-0.1,-0.11,3.25,3.48,3.75,0.24,0.5,0.27,11.76,12.43,13.08,0.67,1.31,0.65
"4708061","4708","47",747.236366394719,25.2335316975911,27.5733083089193,29.1429911295573,2.34,3.91,1.57,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,98,97.2,97.4,85.3,88.3,82.9,0.34,0.32,0.24,-0.02,-0.1,-0.08,3.3,3.5,3.8,0.2,0.5,0.3,11.82,12.45,13.13,0.63,1.31,0.68
"4708062","4708","47",1.02131665412792,25.1168975830078,27.4106292724609,29.0449981689453,2.29,3.93,1.63,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,96.9,95.9,96.7,81.6,89,86.6,0.22,0.15,0.14,-0.07,-0.08,-0.02,3.18,3.33,3.7,0.15,0.52,0.36,11.7,12.29,13.03,0.58,1.33,0.74
"4708065","4708","47",2002.01803535278,24.7614135742188,27.124582361292,28.6441938612196,2.36,3.88,1.52,FALSE,24.8958744749573,27.2559222608067,28.9049512910674,2.35964840443396,4.0090499621941,1.64869021886013,21.9342604187473,24.0780302608529,25.342809894681,2.14130359950299,3.40680212761184,1.26546827791435,89.1,93.8,94.4,86.5,87.4,78.4,-0.13,-0.13,-0.26,0,-0.13,-0.13,2.83,3.05,3.3,0.22,0.47,0.25,11.34,12,12.63,0.65,1.28,0.63
