"CSDUID","CDUID","PRUID","area_km2","tx30_2025","tx30_2050","tx30_change","tx30_extrapolated","tx30_2025_cd_mean","tx30_2050_cd_mean","tx30_change_cd_mean","tx30_2025_pr_mean","tx30_2050_pr_mean","tx30_change_pr_mean","tx30_2025_pctile_national","tx30_2050_pctile_national","tx30_change_pctile_national","tx30_2025_diff_cd","tx30_2050_diff_cd","tx30_change_diff_cd","tx30_2025_diff_pr","tx30_2050_diff_pr","tx30_change_diff_pr","tx30_2025_diff_national","tx30_2050_diff_national","tx30_change_diff_national"
"4707053","4707","47",1037.08342731154,30.0882352941176,38.5882352941176,8.5,FALSE,31.2705741170893,40.5307999623134,9.26434502072295,13.579379603014,19.5797131677624,5.99856635388725,93.6,91.2,66.1,-1.2,-1.9,-0.8,16.5,19,2.5,27.7,34.8,7.2
"4707054","4707","47",2.26823717424331,30,38.5,8.5,FALSE,31.2705741170893,40.5307999623134,9.26434502072295,13.579379603014,19.5797131677624,5.99856635388725,93.3,91,66.1,-1.3,-2,-0.8,16.4,18.9,2.5,27.6,34.7,7.2
"5939807","5939","59",8.39751553015925,19.75,29.25,9.5,FALSE,3.49637890084199,6.34881441181964,2.87390761144056,2.10025303262589,3.54620247469099,1.44318936152802,81.4,75.6,72.8,16.3,22.9,6.6,17.6,25.7,8.1,17.3,25.5,8.2
"5915804","5915","59",0.822034900178098,7,16,9,FALSE,4.51175678985172,10.287725040766,5.78440823114861,2.10025303262589,3.54620247469099,1.44318936152802,39.9,48.7,69.5,2.5,5.7,3.2,4.9,12.5,7.6,4.6,12.2,7.7
"5933814","5933","59",0.388007793630377,8,14,6,FALSE,6.70766748757548,12.2871133578311,5.56032485902742,2.10025303262589,3.54620247469099,1.44318936152802,43.8,44.4,47.5,1.3,1.7,0.4,5.9,10.5,4.6,5.6,10.2,4.7
"5909846","5909","59",0.944336831698607,12,23,11,FALSE,5.36095519390982,10.6708975718657,5.30544765871743,2.10025303262589,3.54620247469099,1.44318936152802,59.3,65.4,79.9,6.6,12.3,5.7,9.9,19.5,9.6,9.6,19.2,9.7
"4708029","4708","47",0.548006381520664,34,43,9,FALSE,33.5162194832892,43.7950590291028,10.2750147687954,13.579379603014,19.5797131677624,5.99856635388725,96.5,95.2,69.5,0.5,-0.8,-1.3,20.4,23.4,3,31.6,39.2,7.7
"4706063","4706","47",921.664271898984,31.2307692307692,39.8461538461538,8.6,FALSE,27.3775283503333,38.5279807234403,11.1596215336991,13.579379603014,19.5797131677624,5.99856635388725,94.4,92.1,66.7,3.9,1.3,-2.6,17.7,20.3,2.6,28.8,36.1,7.3
"4713059","4713","47",662.944437009133,22.2727272727273,28.6818181818182,6.4,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,85.7,74.7,50.7,-1.3,-2.2,-1,8.7,9.1,0.4,19.8,24.9,5.1
"4713062","4713","47",4.80074082296362,19,25,6,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,79.4,69.4,47.5,-4.5,-5.9,-1.4,5.4,5.4,0,16.6,21.2,4.7
"4713041","4713","47",841.676057774667,25.875,32.5416666666667,6.7,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,89.6,83.4,52.6,2.3,1.6,-0.7,12.3,13,0.7,23.4,28.8,5.4
"4713042","4713","47",10.0314954334625,27,35,8,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,90.7,86.6,62.3,3.5,4.1,0.6,13.4,15.4,2,24.6,31.2,6.7
"4713044","4713","47",1.58493616469289,25,30.5,5.5,FALSE,23.5352417403182,30.9221681564273,7.38251548868373,13.579379603014,19.5797131677624,5.99856635388725,88.8,77.9,43.5,1.5,-0.4,-1.9,11.4,10.9,-0.5,22.6,26.7,4.2
"4715001","4715","47",841.799452682424,14.4814814814815,23.4814814814815,9,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,65.9,66.4,69.5,-0.5,1.1,1.7,0.9,3.9,3,12.1,19.7,7.7
"4715002","4715","47",1.29582476522248,14,24,10,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,64.8,67.5,75.1,-1,1.7,2.7,0.4,4.4,4,11.6,20.2,8.7
"4715003","4715","47",0.856958458942761,14,24,10,FALSE,15.0288166404233,22.3417767135752,7.32310194454945,13.579379603014,19.5797131677624,5.99856635388725,64.8,67.5,75.1,-1,1.7,2.7,0.4,4.4,4,11.6,20.2,8.7
