"csd","pr","score_cisv","q_cisv_can","q_score_pr"
1312009,"13",0.457438622754491,4,4
1312011,"13",0.93513,5,5
1312014,"13",0.263380674157303,4,4
1312016,"13",0.0722769637883008,3,2
1312019,"13",0.209866457854406,4,3
1312021,"13",-0.201744673031026,2,1
1312023,"13",-0.0397831412894376,3,2
1313002,"13",0.100585373467113,3,3
1313004,"13",-0.424799603729604,1,1
1313006,"13",0.0277598638426626,3,2
1313008,"13",0.43609,4,4
1313011,"13",0.375159487179487,4,4
1313012,"13",0.467359584736251,4,5
1313014,"13",0.187982580645161,4,3
1313015,"13",0.164168127853881,4,3
1313018,"13",0.14194,3,3
1313020,"13",-0.0983,2,1
1313022,"13",-0.28320969012266,2,1
1313024,"13",-0.111442633171913,2,1
1313027,"13",0.0486795212021659,3,2
1313031,"13",-0.0623027806191117,3,2
1313037,"13",0.0622752700729927,3,2
1314001,"13",1.23519347368421,5,5
1314003,"13",0.58852,5,5
1314004,"13",-0.123976553287982,2,1
1314005,"13",0.57856,5,5
1314006,"13",0.0108426824703681,3,2
1314008,"13",0.0226241203703704,3,2
1314010,"13",0.58499,5,5
1314011,"13",0.0826519739696312,3,3
1314012,"13",0.186694920634921,4,3
1314013,"13",0.120915389057751,3,3
1314014,"13",0.613410363275153,5,5
1314015,"13",-0.185699779179811,2,1
1314016,"13",0.729106795252226,5,5
1314017,"13",0.422929100217189,4,4
1314020,"13",0.374486168177241,4,4
1314021,"13",-0.00664734042553191,3,2
1314022,"13",0.159029238673517,3,3
1314025,"13",0.872773735849057,5,5
1314026,"13",0.08647,3,3
1315002,"13",0.405055789440878,4,4
1315006,"13",0.492590877373012,4,5
1315008,"13",-0.0173293761814745,3,2
1315010,"13",0.52916,4,5
1315011,"13",0.379727233692523,4,4
1315012,"13",-0.0314027369097334,3,2
1315013,"13",0.168117630057803,4,3
1315014,"13",0.340715890481064,4,4
1315015,"13",0.155387808570098,3,3
1315016,"13",0.298451366666667,4,4
1315017,"13",0.938246081300813,5,5
1315019,"13",0.680176928888889,5,5
1315020,"13",0.26579,4,4
1315021,"13",0.629087980182927,5,5
1315022,"13",0.0171028888888889,3,2
1315024,"13",0.481666127265065,4,5
1315026,"13",0.392804425059477,4,4
1315027,"13",0.47855882532418,4,5
1315028,"13",0.0423163897316219,3,2
