"CSDUID","CDUID","PRUID","area_km2","hx_extrapolated","hx30_2025","hx30_2050","hx35_2025","hx35_2050","hx40_2025","hx40_2050","hx30_2025_cd_mean","hx30_2050_cd_mean","hx35_2025_cd_mean","hx35_2050_cd_mean","hx40_2025_cd_mean","hx40_2050_cd_mean","hx30_2025_pr_mean","hx30_2050_pr_mean","hx35_2025_pr_mean","hx35_2050_pr_mean","hx40_2025_pr_mean","hx40_2050_pr_mean","hx30_2025_pctile_national","hx30_2050_pctile_national","hx35_2025_pctile_national","hx35_2050_pctile_national","hx40_2025_pctile_national","hx40_2050_pctile_national"
"3560053","3560","35",256.460572555354,FALSE,19.3333333333333,33,1.44444444444444,6.55555555555556,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,39.5,44.3,39,47.7,40.8,27.7
"3560054","3560","35",17.5598017377791,FALSE,21.5,33.75,3,6,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,44.3,45.7,49.6,45.9,40.8,27.7
"3560055","3560","35",138.13270772794,FALSE,20.4285714285714,32.2857142857143,1.57142857142857,6.85714285714286,0,0,18.0655196476808,28.2553618789524,2.96399566737316,6.22710649295303,0.0103569088421248,0.135264876794362,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,41.6,43.3,40.1,48.4,40.8,27.7
"3539021","3539","35",22.3240251093593,FALSE,72,82.5,28,42.5,4,8.5,70.2263964175523,81.4623245850359,27.148073503334,42.0826451746156,2.85432931884396,7.04699459733232,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,99.4,99,99.3,99.1,99.1,99.2
"3554054","3554","35",110.570053497747,FALSE,31.25,44.5,7,13,0,0,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,64.7,64,69,66.6,40.8,27.7
"3554056","3554","35",599.207739423847,FALSE,27.6315789473684,40.5789473684211,4.78947368421053,10.1052631578947,0,0.0526315789473684,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,57.4,58.3,59.1,59.6,40.8,55.9
"3554057","3554","35",40.8317655384333,FALSE,27.25,40.75,5,9.75,0,0,28.0686208509318,41.4341317127862,5.13384134717492,10.358461475991,0,0.117960500380216,25.3975254066522,38.4385661432019,4.93033259559165,10.5798115050915,0.155482995787871,0.720458052024151,56.6,58.6,60.3,57.9,40.8,27.7
"4802006","4802","48",1.16127456692702,FALSE,26,48,1,4,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,53.4,69.7,34.8,37.3,40.8,27.7
"4802008","4802","48",7.65368243846964,FALSE,27.5,50.5,1,6.5,0,0,29.7220888180885,50.2570257727354,3.03125489852382,9.7172108342452,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,57.1,73.2,34.8,47.5,40.8,27.7
"4815033","4815","48",763.404974487056,FALSE,0,0,0,0,0,0,0.155967011434921,0.671124157631512,0,0,0,0,12.593818806457,17.8325374692973,0.69372372531081,2.21090353876041,0,0.0013735423473984,2.5,1.7,12.3,9.6,40.8,27.7
