"dguid","char","period","total","o","om","onm","r","rs","rns"
3560034,"0.5% or under","2016 to 2021",15,0,0,0,0,0,0
3560034,"0.6% to 1.25%","Total",870,545,180,370,325,85,235
3560034,"0.6% to 1.25%","Before 2016",825,525,180,345,295,70,220
3560034,"0.6% to 1.25%","2016 to 2021",50,15,0,15,35,0,20
3560034,"1.26% to 2%","Total",745,460,415,50,290,25,260
3560034,"1.26% to 2%","Before 2016",700,460,415,50,240,25,215
3560034,"1.26% to 2%","2016 to 2021",50,0,0,0,50,0,50
3560034,"2.1% to 3%","Total",265,260,260,0,0,0,0
3560034,"2.1% to 3%","Before 2016",250,245,245,0,0,0,0
3560034,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
3560034,"3.1% or over","Total",50,50,50,0,0,0,0
3560034,"3.1% or over","Before 2016",50,50,50,0,0,0,0
3560034,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
3560042,"Total","Total",1705,1280,730,555,420,80,340
3560042,"Total","Before 2016",1655,1260,710,550,395,80,320
3560042,"Total","2016 to 2021",45,20,15,0,30,0,20
3560042,"1+ person with limitation","Total",205,155,130,30,45,0,35
3560042,"1+ person with limitation","Before 2016",200,150,125,30,45,0,35
3560042,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
3560042,"Veteran in household","Total",30,30,15,15,0,0,0
3560042,"Veteran in household","Before 2016",30,30,15,15,0,0,0
3560042,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
3560042,"0.5% or under","Total",460,360,15,345,100,55,45
3560042,"0.5% or under","Before 2016",440,355,15,340,90,50,40
3560042,"0.5% or under","2016 to 2021",20,0,0,0,0,0,0
3560042,"0.6% to 1.25%","Total",680,425,225,205,255,25,225
3560042,"0.6% to 1.25%","Before 2016",675,425,225,205,250,25,220
3560042,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
3560042,"1.26% to 2%","Total",455,390,385,10,65,0,65
3560042,"1.26% to 2%","Before 2016",445,380,375,10,60,0,60
3560042,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
3560042,"2.1% to 3%","Total",95,95,95,0,0,0,0
3560042,"2.1% to 3%","Before 2016",90,90,90,0,0,0,0
3560042,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
3560042,"3.1% or over","Total",10,10,10,0,0,0,0
3560042,"3.1% or over","Before 2016",10,10,10,0,0,0,0
3560042,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
3560049,"Total","Total",160,65,25,40,100,25,75
3560049,"Total","Before 2016",160,65,25,40,100,25,75
3560049,"Total","2016 to 2021",0,0,0,0,0,0,0
3560049,"1+ person with limitation","Total",0,0,0,0,0,0,0
3560049,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
3560049,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
3560049,"Veteran in household","Total",0,0,0,0,0,0,0
3560049,"Veteran in household","Before 2016",0,0,0,0,0,0,0
3560049,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
3560049,"0.5% or under","Total",25,0,0,0,0,0,0
3560049,"0.5% or under","Before 2016",25,0,0,0,0,0,0
3560049,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
3560049,"0.6% to 1.25%","Total",65,35,0,25,40,0,40
3560049,"0.6% to 1.25%","Before 2016",65,35,0,25,40,0,40
3560049,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
3560049,"1.26% to 2%","Total",50,0,0,0,40,0,35
3560049,"1.26% to 2%","Before 2016",50,0,0,0,40,0,35
3560049,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
3560049,"2.1% to 3%","Total",0,0,0,0,0,0,0
3560049,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
3560049,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
3560049,"3.1% or over","Total",0,0,0,0,0,0,0
3560049,"3.1% or over","Before 2016",0,0,0,0,0,0,0
3560049,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
3560090,"Total","Total",3225,2805,1075,1725,425,75,350
3560090,"Total","Before 2016",3095,2670,1030,1640,425,75,350
3560090,"Total","2016 to 2021",135,135,45,85,0,0,0
3560090,"1+ person with limitation","Total",310,245,145,100,65,0,55
3560090,"1+ person with limitation","Before 2016",295,235,135,100,60,0,55
3560090,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
3560090,"Veteran in household","Total",80,80,35,45,0,0,0
3560090,"Veteran in household","Before 2016",80,80,35,45,0,0,0
3560090,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
3560090,"0.5% or under","Total",1370,1230,0,1220,145,35,110
3560090,"0.5% or under","Before 2016",1315,1175,0,1165,140,35,110
3560090,"0.5% or under","2016 to 2021",55,55,0,55,0,0,0
3560090,"0.6% to 1.25%","Total",935,740,285,460,185,25,165
3560090,"0.6% to 1.25%","Before 2016",895,705,270,430,185,25,165
3560090,"0.6% to 1.25%","2016 to 2021",40,40,10,30,0,0,0
3560090,"1.26% to 2%","Total",640,555,510,40,85,25,65
3560090,"1.26% to 2%","Before 2016",630,545,505,40,85,25,65
3560090,"1.26% to 2%","2016 to 2021",15,15,15,0,0,0,0
3560090,"2.1% to 3%","Total",205,200,195,0,0,0,0
3560090,"2.1% to 3%","Before 2016",190,185,185,0,0,0,0
3560090,"2.1% to 3%","2016 to 2021",15,15,0,0,0,0,0
3560090,"3.1% or over","Total",75,75,75,0,0,0,0
3560090,"3.1% or over","Before 2016",65,65,65,0,0,0,0
3560090,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
11,"Total","Total",63475,43605,24255,19350,19870,3585,16285
11,"Total","Before 2016",58725,40905,22280,18625,17820,3255,14565
11,"Total","2016 to 2021",4745,2700,1975,725,2045,330,1715
11,"1+ person with limitation","Total",7055,4925,3620,1300,2130,215,1920
11,"1+ person with limitation","Before 2016",6545,4575,3310,1270,1970,195,1775
11,"1+ person with limitation","2016 to 2021",510,345,310,30,170,20,140
11,"Veteran in household","Total",3595,2735,1430,1305,860,130,730
11,"Veteran in household","Before 2016",3340,2570,1310,1255,770,115,655
11,"Veteran in household","2016 to 2021",250,160,115,45,90,0,75
11,"0.5% or under","Total",10800,9445,215,9230,1355,495,860
11,"0.5% or under","Before 2016",10295,9070,200,8870,1220,420,800
11,"0.5% or under","2016 to 2021",510,370,0,360,135,75,60
11,"0.6% to 1.25%","Total",21215,14365,5465,8900,6845,2130,4715
11,"0.6% to 1.25%","Before 2016",20355,13795,5175,8620,6565,1955,4605
11,"0.6% to 1.25%","2016 to 2021",850,570,290,280,285,175,105
11,"1.26% to 2%","Total",20250,11565,10555,1010,8690,850,7835
11,"1.26% to 2%","Before 2016",18670,10805,9865,940,7865,795,7070
11,"1.26% to 2%","2016 to 2021",1580,760,690,70,825,55,765
11,"2.1% to 3%","Total",8530,5945,5755,190,2580,75,2500
11,"2.1% to 3%","Before 2016",7180,5350,5160,185,1830,65,1770
11,"2.1% to 3%","2016 to 2021",1345,595,595,0,750,20,730
11,"3.1% or over","Total",2680,2285,2265,20,395,25,365
11,"3.1% or over","Before 2016",2230,1885,1880,0,340,15,320
11,"3.1% or over","2016 to 2021",455,400,395,0,55,0,45
1101002,"Total","Total",145,115,35,85,30,0,0
1101002,"Total","Before 2016",145,115,35,85,30,0,0
1101002,"Total","2016 to 2021",0,0,0,0,0,0,0
1101002,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101002,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101002,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101002,"Veteran in household","Total",0,0,0,0,0,0,0
1101002,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101002,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101002,"0.5% or under","Total",25,25,0,25,0,0,0
1101002,"0.5% or under","Before 2016",25,25,0,25,0,0,0
1101002,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101002,"0.6% to 1.25%","Total",70,55,0,55,0,0,0
1101002,"0.6% to 1.25%","Before 2016",70,55,0,55,0,0,0
1101002,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101002,"1.26% to 2%","Total",40,25,20,0,0,0,0
1101002,"1.26% to 2%","Before 2016",40,25,20,0,0,0,0
1101002,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101002,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101002,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101002,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101002,"3.1% or over","Total",0,0,0,0,0,0,0
1101002,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101002,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101003,"Total","Total",265,255,100,155,0,0,0
1101003,"Total","Before 2016",245,230,85,145,0,0,0
1101003,"Total","2016 to 2021",25,25,20,0,0,0,0
1101003,"1+ person with limitation","Total",25,25,0,0,0,0,0
1101003,"1+ person with limitation","Before 2016",20,20,0,0,0,0,0
1101003,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101003,"Veteran in household","Total",0,0,0,0,0,0,0
1101003,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101003,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101003,"0.5% or under","Total",115,115,0,115,0,0,0
1101003,"0.5% or under","Before 2016",110,105,0,105,0,0,0
1101003,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101003,"0.6% to 1.25%","Total",80,75,35,40,0,0,0
1101003,"0.6% to 1.25%","Before 2016",70,60,20,40,0,0,0
1101003,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101003,"1.26% to 2%","Total",50,50,50,0,0,0,0
1101003,"1.26% to 2%","Before 2016",45,45,45,0,0,0,0
1101003,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101003,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101003,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101003,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101003,"3.1% or over","Total",0,0,0,0,0,0,0
1101003,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101003,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101004,"Total","Total",140,120,55,65,30,0,15
1101004,"Total","Before 2016",140,120,55,65,30,0,15
1101004,"Total","2016 to 2021",0,0,0,0,0,0,0
1101004,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101004,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101004,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101004,"Veteran in household","Total",0,0,0,0,0,0,0
1101004,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101004,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101004,"0.5% or under","Total",15,0,0,0,0,0,0
1101004,"0.5% or under","Before 2016",15,0,0,0,0,0,0
1101004,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101004,"0.6% to 1.25%","Total",75,70,15,50,0,0,0
1101004,"0.6% to 1.25%","Before 2016",75,70,15,50,0,0,0
1101004,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101004,"1.26% to 2%","Total",35,25,20,0,0,0,0
1101004,"1.26% to 2%","Before 2016",35,25,20,0,0,0,0
1101004,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101004,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101004,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101004,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101004,"3.1% or over","Total",0,0,0,0,0,0,0
1101004,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101004,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101005,"Total","Total",550,510,215,290,45,0,40
1101005,"Total","Before 2016",535,490,205,285,45,0,40
1101005,"Total","2016 to 2021",20,20,0,0,0,0,0
1101005,"1+ person with limitation","Total",55,40,0,30,0,0,0
1101005,"1+ person with limitation","Before 2016",55,40,0,30,0,0,0
1101005,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101005,"Veteran in household","Total",30,30,0,25,0,0,0
1101005,"Veteran in household","Before 2016",30,30,0,20,0,0,0
1101005,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101005,"0.5% or under","Total",220,210,0,210,15,0,15
1101005,"0.5% or under","Before 2016",210,195,0,195,15,0,15
1101005,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101005,"0.6% to 1.25%","Total",190,175,95,80,15,0,15
1101005,"0.6% to 1.25%","Before 2016",190,175,90,80,15,0,15
1101005,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101005,"1.26% to 2%","Total",100,90,80,0,0,0,0
1101005,"1.26% to 2%","Before 2016",100,90,80,0,0,0,0
1101005,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101005,"2.1% to 3%","Total",20,20,20,0,0,0,0
1101005,"2.1% to 3%","Before 2016",20,20,20,0,0,0,0
1101005,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101005,"3.1% or over","Total",15,15,15,0,0,0,0
1101005,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101005,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101020,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101020,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1101020,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101020,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101025,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1101025,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101025,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101027,"Total","Total",165,155,85,65,0,0,0
1101027,"Total","Before 2016",160,155,85,65,0,0,0
1101027,"Total","2016 to 2021",0,0,0,0,0,0,0
1101027,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101027,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101027,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101027,"Veteran in household","Total",0,0,0,0,0,0,0
1101027,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101027,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101027,"0.5% or under","Total",45,45,0,45,0,0,0
1101027,"0.5% or under","Before 2016",45,45,0,45,0,0,0
1101027,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101027,"0.6% to 1.25%","Total",60,50,35,0,0,0,0
1101027,"0.6% to 1.25%","Before 2016",60,50,35,0,0,0,0
1101027,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101027,"1.26% to 2%","Total",35,35,35,0,0,0,0
1101027,"1.26% to 2%","Before 2016",35,35,35,0,0,0,0
1101027,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101027,"2.1% to 3%","Total",20,20,15,0,0,0,0
1101027,"2.1% to 3%","Before 2016",20,20,15,0,0,0,0
1101027,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101027,"3.1% or over","Total",0,0,0,0,0,0,0
1101027,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101027,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101030,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101030,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1101030,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101030,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101033,"Total","Total",155,135,65,75,20,0,20
1101033,"Total","Before 2016",155,130,65,65,20,0,20
1101033,"Total","2016 to 2021",0,0,0,0,0,0,0
1101033,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101033,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101033,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101033,"Veteran in household","Total",0,0,0,0,0,0,0
1101033,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101033,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101033,"0.5% or under","Total",40,40,0,40,0,0,0
1101033,"0.5% or under","Before 2016",30,30,0,30,0,0,0
1101033,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101033,"0.6% to 1.25%","Total",60,45,20,25,0,0,0
1101033,"0.6% to 1.25%","Before 2016",60,45,20,25,0,0,0
1101033,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101033,"1.26% to 2%","Total",35,30,20,0,0,0,0
1101033,"1.26% to 2%","Before 2016",35,30,20,0,0,0,0
1101033,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101033,"2.1% to 3%","Total",25,25,25,0,0,0,0
1101033,"2.1% to 3%","Before 2016",25,25,25,0,0,0,0
1101033,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101033,"3.1% or over","Total",0,0,0,0,0,0,0
1101033,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101033,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101035,"Total","Total",730,670,345,330,60,0,60
1101035,"Total","Before 2016",700,645,310,330,60,0,60
1101035,"Total","2016 to 2021",25,25,25,0,0,0,0
1101035,"1+ person with limitation","Total",90,90,70,20,0,0,0
1101035,"1+ person with limitation","Before 2016",80,80,60,20,0,0,0
1101035,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101035,"Veteran in household","Total",25,25,20,0,0,0,0
1101035,"Veteran in household","Before 2016",25,25,20,0,0,0,0
1101035,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101035,"0.5% or under","Total",295,260,0,250,35,0,35
1101035,"0.5% or under","Before 2016",295,260,0,250,35,0,35
1101035,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101035,"0.6% to 1.25%","Total",250,230,150,75,15,0,15
1101035,"0.6% to 1.25%","Before 2016",240,225,150,75,15,0,15
1101035,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101035,"1.26% to 2%","Total",140,135,135,0,0,0,0
1101035,"1.26% to 2%","Before 2016",120,120,120,0,0,0,0
1101035,"1.26% to 2%","2016 to 2021",20,20,20,0,0,0,0
1101035,"2.1% to 3%","Total",30,30,30,0,0,0,0
1101035,"2.1% to 3%","Before 2016",25,25,25,0,0,0,0
1101035,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101035,"3.1% or over","Total",15,15,15,0,0,0,0
1101035,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101035,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101036,"Total","Total",480,280,105,175,205,110,95
1101036,"Total","Before 2016",470,275,105,170,200,110,90
1101036,"Total","2016 to 2021",0,0,0,0,0,0,0
1101036,"1+ person with limitation","Total",45,25,25,0,20,0,20
1101036,"1+ person with limitation","Before 2016",45,25,25,0,20,0,20
1101036,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101036,"Veteran in household","Total",25,0,0,0,0,0,0
1101036,"Veteran in household","Before 2016",25,0,0,0,0,0,0
1101036,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101036,"0.5% or under","Total",40,25,0,25,20,20,0
1101036,"0.5% or under","Before 2016",35,20,0,20,20,20,0
1101036,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101036,"0.6% to 1.25%","Total",230,120,0,105,115,75,35
1101036,"0.6% to 1.25%","Before 2016",230,120,0,105,115,75,35
1101036,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101036,"1.26% to 2%","Total",160,95,45,50,65,0,55
1101036,"1.26% to 2%","Before 2016",155,95,45,50,65,0,55
1101036,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101036,"2.1% to 3%","Total",40,40,40,0,0,0,0
1101036,"2.1% to 3%","Before 2016",40,40,40,0,0,0,0
1101036,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101036,"3.1% or over","Total",0,0,0,0,0,0,0
1101036,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101036,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101037,"Total","Total",250,230,110,120,20,0,20
1101037,"Total","Before 2016",240,220,100,120,20,0,20
1101037,"Total","2016 to 2021",0,0,0,0,0,0,0
1101037,"1+ person with limitation","Total",40,40,40,0,0,0,0
1101037,"1+ person with limitation","Before 2016",40,40,40,0,0,0,0
1101037,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101037,"Veteran in household","Total",0,0,0,0,0,0,0
1101037,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101037,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101037,"0.5% or under","Total",60,60,0,60,0,0,0
1101037,"0.5% or under","Before 2016",60,60,0,60,0,0,0
1101037,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101037,"0.6% to 1.25%","Total",120,110,45,65,0,0,0
1101037,"0.6% to 1.25%","Before 2016",120,110,45,65,0,0,0
1101037,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101037,"1.26% to 2%","Total",50,40,40,0,0,0,0
1101037,"1.26% to 2%","Before 2016",45,35,35,0,0,0,0
1101037,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101037,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101037,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101037,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101037,"3.1% or over","Total",0,0,0,0,0,0,0
1101037,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101037,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101040,"Total","Total",260,240,80,160,25,0,0
1101040,"Total","Before 2016",255,230,80,155,25,0,0
1101040,"Total","2016 to 2021",0,0,0,0,0,0,0
1101040,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101040,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101040,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101040,"Veteran in household","Total",25,15,0,0,0,0,0
1101040,"Veteran in household","Before 2016",25,0,0,0,0,0,0
1101040,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101040,"0.5% or under","Total",70,70,0,70,0,0,0
1101040,"0.5% or under","Before 2016",70,70,0,70,0,0,0
1101040,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101040,"0.6% to 1.25%","Total",120,110,30,80,0,0,0
1101040,"0.6% to 1.25%","Before 2016",120,110,30,80,0,0,0
1101040,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101040,"1.26% to 2%","Total",60,50,45,0,0,0,0
