"dguid","char","period","total","o","om","onm","r","rs","rns"
1004,"1.26% to 2%","Before 2016",2585,1100,885,215,1490,255,1235
1004,"1.26% to 2%","2016 to 2021",85,30,0,20,55,15,35
1004,"2.1% to 3%","Total",1050,880,860,25,165,0,165
1004,"2.1% to 3%","Before 2016",1020,855,830,25,165,0,165
1004,"2.1% to 3%","2016 to 2021",35,30,30,0,0,0,0
1004,"3.1% or over","Total",550,525,515,15,30,0,20
1004,"3.1% or over","Before 2016",510,485,470,15,25,0,20
1004,"3.1% or over","2016 to 2021",45,40,40,0,0,0,0
1005,"Total","Total",17935,13110,6395,6715,4825,1205,3620
1005,"Total","Before 2016",17225,12665,6070,6600,4560,1135,3420
1005,"Total","2016 to 2021",710,445,325,115,260,65,195
1005,"1+ person with limitation","Total",1835,1275,920,355,560,120,440
1005,"1+ person with limitation","Before 2016",1765,1220,875,345,550,120,425
1005,"1+ person with limitation","2016 to 2021",70,55,45,0,20,0,20
1005,"Veteran in household","Total",865,700,400,295,165,25,145
1005,"Veteran in household","Before 2016",845,680,385,295,165,25,145
1005,"Veteran in household","2016 to 2021",15,15,15,0,0,0,0
1005,"0.5% or under","Total",3090,2520,0,2510,570,285,290
1005,"0.5% or under","Before 2016",3025,2475,0,2470,545,285,265
1005,"0.5% or under","2016 to 2021",65,40,0,40,25,0,25
1005,"0.6% to 1.25%","Total",6375,4485,615,3870,1890,620,1265
1005,"0.6% to 1.25%","Before 2016",6225,4405,590,3815,1820,600,1225
1005,"0.6% to 1.25%","2016 to 2021",145,80,25,55,65,25,40
1005,"1.26% to 2%","Total",4595,2730,2440,290,1870,220,1645
1005,"1.26% to 2%","Before 2016",4445,2670,2400,275,1775,210,1560
1005,"1.26% to 2%","2016 to 2021",155,60,35,20,95,15,80
1005,"2.1% to 3%","Total",2750,2340,2300,40,405,40,370
1005,"2.1% to 3%","Before 2016",2510,2155,2110,40,355,20,335
1005,"2.1% to 3%","2016 to 2021",240,185,185,0,55,0,35
1005,"3.1% or over","Total",1120,1035,1035,0,85,30,55
1005,"3.1% or over","Before 2016",1020,955,955,0,60,20,40
1005,"3.1% or over","2016 to 2021",100,75,75,0,30,0,0
1006,"Total","Total",16460,11575,6350,5220,4895,1005,3885
1006,"Total","Before 2016",15840,11225,6090,5135,4610,955,3655
1006,"Total","2016 to 2021",630,345,260,85,280,50,230
1006,"1+ person with limitation","Total",1640,1180,930,250,465,85,375
1006,"1+ person with limitation","Before 2016",1600,1150,905,245,445,85,360
1006,"1+ person with limitation","2016 to 2021",45,30,25,0,15,0,15
1006,"Veteran in household","Total",935,715,435,275,220,20,205
1006,"Veteran in household","Before 2016",910,695,425,275,210,15,195
1006,"Veteran in household","2016 to 2021",30,15,0,0,0,0,0
1006,"0.5% or under","Total",2225,1880,0,1875,345,205,145
1006,"0.5% or under","Before 2016",2185,1850,0,1845,340,200,140
1006,"0.5% or under","2016 to 2021",35,30,0,30,0,0,0
1006,"0.6% to 1.25%","Total",6055,3865,720,3145,2190,605,1585
1006,"0.6% to 1.25%","Before 2016",5940,3815,720,3095,2125,575,1545
1006,"0.6% to 1.25%","2016 to 2021",115,55,0,55,65,30,35
1006,"1.26% to 2%","Total",4835,2765,2590,175,2065,170,1900
1006,"1.26% to 2%","Before 2016",4610,2720,2540,175,1895,160,1740
1006,"1.26% to 2%","2016 to 2021",220,50,50,0,175,0,160
1006,"2.1% to 3%","Total",2335,2080,2070,0,260,20,235
1006,"2.1% to 3%","Before 2016",2205,1990,1980,0,220,15,205
1006,"2.1% to 3%","2016 to 2021",135,95,95,0,35,0,30
1006,"3.1% or over","Total",1010,980,970,0,30,0,25
1006,"3.1% or over","Before 2016",890,860,850,0,30,0,25
1006,"3.1% or over","2016 to 2021",115,115,115,0,0,0,0
1007,"Total","Total",14835,12305,4315,7995,2525,370,2155
