"dguid","var","1per","2per","3per","4per","5per"
1210012,"mbm",25200,35640,43660,50410,56360
1210012,"living_income",47980,67850,83100,95950,107280
1211001,"mbm",24560,34730,42530,49110,54910
1211001,"living_income",46870,66280,81180,93740,104800
1211006,"mbm",24570,34750,42560,49140,54940
1211006,"living_income",47430,67070,82150,94860,106050
1211009,"mbm",22970,32480,39780,45930,51360
1211009,"living_income",44700,63220,77430,89410,99960
1211011,"mbm",26630,37650,46120,53250,59540
1211011,"living_income",51700,73110,89540,103390,115600
1211012,"mbm",23500,33230,40700,47000,52540
1211012,"living_income",45400,64210,78640,90810,101530
1211014,"mbm",23630,33420,40930,47260,52840
1211014,"living_income",45820,64800,79370,91640,102460
1212001,"mbm",22790,32230,39470,45570,50950
1212001,"living_income",44260,62590,76660,88520,98970
1212004,"mbm",26130,36950,45250,52250,58420
1212004,"living_income",50540,71470,87530,101080,113010
1212006,"mbm",24200,34220,41920,48400,54110
1212006,"living_income",47210,66760,81760,94410,105560
1212008,"mbm",25340,35840,43900,50690,56670
1212008,"living_income",49200,69580,85210,98400,110010
1212009,"mbm",26210,37070,45400,52430,58620
1212009,"living_income",51010,72130,88340,102010,114050
1212011,"mbm",23790,33650,41210,47590,53200
1212011,"living_income",46430,65660,80420,92860,103820
1212014,"mbm",26170,37010,45320,52330,58510
1212014,"living_income",50770,71800,87940,101540,113520
1212016,"mbm",25350,35850,43900,50690,56680
1212016,"living_income",49100,69430,85040,98190,109780
1213001,"mbm",22810,32260,39510,45620,51000
1213001,"living_income",43880,62060,76010,87760,98120
1213004,"mbm",23410,33110,40550,46820,52350
1213004,"living_income",44840,63410,77660,89670,100260
1214001,"mbm",24560,34740,42540,49130,54920
1214001,"living_income",47700,67460,82630,95410,106670
1214002,"mbm",27430,38800,47510,54870,61340
1214002,"living_income",52190,73810,90390,104380,116700
1214006,"mbm",23750,33590,41140,47510,53120
1214006,"living_income",45720,64660,79190,91440,102230
1215001,"mbm",22250,31460,38530,44490,49740
1215001,"living_income",43290,61220,74980,86580,96790
1215002,"mbm",24880,35190,43100,49760,55640
1215002,"living_income",48550,68660,84100,97110,108570
1215006,"mbm",23020,32560,39870,46040,51480
1215006,"living_income",44620,63110,77290,89250,99780
1215011,"mbm",22680,32070,39280,45360,50710
1215011,"living_income",43910,62100,76050,87820,98190
1216001,"mbm",23380,33070,40500,46770,52290
1216001,"living_income",45230,63970,78350,90470,101150
1216006,"mbm",24590,34770,42580,49170,54970
1216006,"living_income",47700,67450,82610,95390,106650
1216011,"mbm",22500,31830,38980,45010,50320
1216011,"living_income",43270,61190,74940,86530,96750
1217008,"mbm",21360,30200,36990,42710,47750
1217008,"living_income",39490,55850,68400,78980,88300
1217020,"mbm",21530,30440,37290,43050,48130
1217020,"living_income",39740,56200,68830,79470,88860
1217030,"mbm",25860,36570,44790,51720,57820
1217030,"living_income",49830,70470,86300,99660,111420
1218001,"mbm",23020,32560,39880,46050,51480
1218001,"living_income",44870,63460,77720,89740,100340
1218006,"mbm",23180,32780,40140,46350,51820
1218006,"living_income",44920,63520,77800,89840,100440
3501005,"mbm",23610,33390,40900,47230,52800
3501005,"living_income",38120,53910,66030,76240,85240
3501011,"mbm",23670,33480,41000,47350,52930
3501011,"living_income",38200,54030,66170,76410,85430
3501012,"mbm",26650,37680,46150,53290,59580
3501012,"living_income",43030,60860,74530,86060,96220
3501020,"mbm",24330,34410,42140,48660,54400
3501020,"living_income",39310,55590,68080,78620,87900
3501030,"mbm",24960,35300,43230,49920,55810
3501030,"living_income",40180,56820,69590,80350,89840
3501042,"mbm",24160,34170,41840,48320,54020
3501042,"living_income",38950,55080,67460,77900,87090
3501050,"mbm",25050,35420,43390,50100,56010
3501050,"living_income",40470,57230,70090,80930,90490
3502001,"mbm",25140,35560,43550,50280,56220
3502001,"living_income",40750,57630,70580,81500,91110
3502008,"mbm",28340,40080,49080,56680,63370
3502008,"living_income",46070,65150,79790,92140,103010
3502010,"mbm",24720,34950,42810,49430,55270
3502010,"living_income",40080,56680,69420,80160,89620
3502023,"mbm",26130,36960,45260,52270,58440
3502023,"living_income",42210,59700,73110,84420,94390
3502025,"mbm",25360,35870,43930,50730,56710
3502025,"living_income",40880,57810,70810,81760,91410
3502036,"mbm",25760,36430,44610,51510,57590
3502036,"living_income",41470,58650,71830,82950,92740
3502044,"mbm",25190,35630,43630,50380,56330
3502044,"living_income",40660,57500,70430,81320,90920
3502048,"mbm",25380,35890,43960,50760,56750
3502048,"living_income",40800,57710,70670,81610,91240
3506008,"mbm",25930,36670,44920,51870,57990
3506008,"living_income",41650,58900,72140,83290,93130
3507004,"mbm",26040,36830,45100,52080,58230
3507004,"living_income",42080,59510,72890,84160,94100
3507006,"mbm",24170,34190,41870,48350,54050
3507006,"living_income",39130,55340,67780,78270,87510
3507008,"mbm",28750,40660,49800,57510,64300
3507008,"living_income",46520,65800,80580,93050,104030
3507014,"mbm",24260,34300,42010,48510,54240
3507014,"living_income",39300,55580,68070,78600,87880
3507015,"mbm",27950,39530,48420,55910,62510
3507015,"living_income",45260,64010,78400,90530,101210
3507021,"mbm",24840,35130,43030,49690,55550
3507021,"living_income",40200,56850,69620,80390,89880
3507024,"mbm",28590,40430,49520,57180,63930
3507024,"living_income",46170,65300,79970,92340,103240
3507040,"mbm",24320,34390,42120,48640,54380
3507040,"living_income",39460,55810,68350,78920,88240
3507042,"mbm",24650,34860,42690,49300,55120
3507042,"living_income",39950,56500,69200,79910,89340
3507052,"mbm",25460,36000,44090,50910,56920
3507052,"living_income",41140,58190,71260,82290,92000
3507065,"mbm",25210,35650,43660,50410,56360
3507065,"living_income",40620,57450,70360,81240,90830
3509001,"mbm",25430,35970,44050,50860,56870
3509001,"living_income",41010,58000,71030,82020,91700
3509004,"mbm",29750,42080,51540,59510,66530
3509004,"living_income",48000,67890,83150,96010,107340
3509010,"mbm",24940,35280,43210,49890,55780
3509010,"living_income",40270,56950,69750,80540,90040
