"munic","pr","scoremat","scoresoc","scoremat_can","scoresoc_can","scoremat_pr","scoresoc_pr"
1008074,"10",0.126126569148572,-0.0651670158745627,5,1,5,1
1008075,"10",0.0349240833200894,-0.0224198685263414,4,2,2,3
1008076,"10",0.046057539988846,-0.0352849127549353,4,1,3,3
1008077,"10",0.120908487674546,-0.0165231619175148,5,2,5,4
1008078,"10",0.144479192939554,-0.103011844920912,5,1,5,1
1008079,"10",0.0460514229326377,-0.0218661543753942,4,2,3,4
1008091,"10",0.103705139261253,-0.0605816168092171,5,1,5,2
1008092,"10",0.0274924650291626,-0.0837092889485253,4,1,2,1
1008093,"10",0.0374209089295812,-0.00851723739005133,4,3,2,4
1008095,"10",0.0845260179984914,-0.0835986895116087,5,1,4,1
1008096,"10",0.178979422135011,-0.123947184494545,5,1,5,1
1008098,"10",0.150472357931549,-0.0691228728489331,5,1,5,1
1008099,"10",0.0636059684706215,-0.0348679343546396,5,1,3,3
1009001,"10",0.0856374385760404,-0.120412356896327,5,1,4,1
1009004,"10",0.168253779275299,-0.0851464968699933,5,1,5,1
1009007,"10",0.0742995659056908,-0.0636770024276539,5,1,4,1
1009008,"10",-0.00895393911015925,-0.0851600192150541,1,1,1,1
1009009,"10",0.0855795354375034,-0.00111286023831976,5,3,4,5
1009010,"10",0.114849607093962,-0.0315315243670827,5,1,5,3
1009011,"10",0.0750487040710656,-0.0228412449001477,5,2,4,3
1009012,"10",0.0553201547117078,-0.0299879613428935,4,2,3,3
1009013,"10",0.0582743258103926,-0.0477733051753722,5,1,3,2
1009015,"10",0.018490635457396,-0.0264465000079867,3,2,1,3
1009016,"10",0.0328763637897298,-0.0248920956571577,4,2,2,3
1009017,"10",0.119076553902432,-0.0424507779984256,5,1,5,2
1009018,"10",0.122239949105373,-0.00298227056564547,5,3,5,5
1009019,"10",0.054790028613795,-0.01916095984157,4,2,3,4
1009020,"10",0.100030062715663,-0.074594629226178,5,1,5,1
1009021,"10",0.083681545760992,-0.0555987371325258,5,1,4,2
1009022,"10",0.069343099302967,-0.0297575324587298,5,2,4,3
1009023,"10",0.104067100782563,-0.0815139107041691,5,1,5,1
1009024,"10",0.0735760019366279,-0.0304685949962028,5,2,4,3
1009026,"10",0.0975559559726066,-0.0798333828525142,5,1,5,1
1009028,"10",0.11278565573722,-0.0841667508918462,5,1,5,1
1009029,"10",0.0205524107442709,-0.0251333498467154,3,2,2,3
1009030,"10",0.0347165009502925,-0.0375744904554758,4,1,2,2
1009031,"10",0.08360128647692,-0.0821338389571273,5,1,4,1
1009032,"10",0.0460583018951824,-0.04625646100933,4,1,3,2
1009034,"10",0.10466007242489,-0.0592076991790634,5,1,5,2
1009035,"10",0.123705733150478,-0.0782177210456031,5,1,5,1
1009037,"10",0,0,2,3,1,5
1009039,"10",-0.0069536088653951,0.00214878825877103,2,4,1,5
1009041,"10",0.103171737713543,-0.00269727249385647,5,3,5,5
1009042,"10",0,0,2,3,1,5
1009047,"10",0.150700708602217,-0.0762176607379,5,1,5,1
1009048,"10",0.06171072392537,-0.0469225640414178,5,1,3,2
1010001,"10",0,0,2,3,1,5
1010002,"10",0.0671753363313889,-0.0871888805867641,5,1,4,1
1010003,"10",0.0452409513077436,-0.113622883429179,4,1,2,1
1010004,"10",0.00813545937785345,-0.016179410103905,3,2,1,4
1010005,"10",0.0402907105298557,-0.0196723216901933,4,2,2,4
1010006,"10",0.0952236140137956,-0.04028138872381,5,1,4,2
1010007,"10",0,0,2,3,1,5
1010008,"10",0.138863357505917,-0.0738996564727348,5,1,5,1
1010009,"10",0.10002440192128,-0.0615657265271053,5,1,5,1
1010010,"10",0.083104734465834,-0.0664539194610512,5,1,4,1
1010011,"10",0.0794639311587991,-0.0583218999636507,5,1,4,2
1010012,"10",0.0773210992852469,-0.027912135239649,5,2,4,3
1010013,"10",0.0758959695732518,-0.0755572153157884,5,1,4,1
1010020,"10",0.108550794728798,-0.158152942086768,5,1,5,1
1010022,"10",-0.00156398330670908,0.00889129112887726,2,4,1,5
1010025,"10",0.00276986907094498,0.004491654391632,3,4,1,5
1010029,"10",-0.0617803715410351,0.0194085103496358,1,5,1,5
1010032,"10",-0.0391231494846653,-0.00605127761768376,1,3,1,5
1010034,"10",-0.0406216548267026,0.00124883233553027,1,4,1,5
1010042,"10",NA,NA,NA,NA,NA,NA
1010801,"10",0.0901460293813766,-0.00455688358485795,5,3,4,5
1010802,"10",0.113763129206844,-0.0318966732260473,5,1,5,3
1011005,"10",NA,NA,NA,NA,NA,NA
1011010,"10",0.101918257826255,-0.0349006586328802,5,1,5,3
1011015,"10",0.0674891737619247,-0.0183162470310245,5,2,4,4
1011020,"10",0.0709441342180897,-0.0118091707087743,5,3,4,4
1011030,"10",0.113886078660026,-0.0278405277425283,5,2,5,3
1011035,"10",0.0958572855000218,-0.0413596870301729,5,1,5,2
1011040,"10",NA,NA,NA,NA,NA,NA
1101002,"11",0.0382084682637937,0.017728992539241,4,5,5,5
1101003,"11",0.0086206914006536,-0.0168762936483505,3,2,3,2
1101004,"11",0.0440690134421972,0.00677129024642273,4,4,5,4
1101005,"11",0.0244180287572221,-0.0137587426094508,4,2,4,3
1101020,"11",-0.0427035441261438,-0.0460899655842698,1,1,1,1
1101025,"11",0.0487395664993997,-0.16864860459139,4,1,5,1
1101027,"11",0.0388249067011961,-0.02095572925126,4,2,5,2
1101030,"11",0.0041109224255263,-0.0280559564958672,3,2,3,1
1101033,"11",-0.0522154419019641,-0.00651948244135117,1,3,1,3
1101035,"11",-0.00768881584849746,0.000311287973123122,2,4,2,4
1101036,"11",0.0235909052775429,0.014222154742942,4,5,4,5
1101037,"11",0.0470269519079826,-0.0148561139503341,4,2,5,3
1101040,"11",0.0166569429399927,-0.0227712173695284,3,2,4,2
1101043,"11",0.0193169780294234,-0.0167248814386656,3,2,4,2
1101044,"11",-0.036225016070587,-0.00248456045414574,1,3,1,3
1101045,"11",0.0126202681561577,0.0125388985241644,3,5,4,5
1101048,"11",-0.00668478390151842,0.00672587564910511,2,4,2,4
1101050,"11",0,0,2,3,3,4
1101052,"11",-0.00419218533835951,-0.0335041110119884,2,1,2,1
1102002,"11",0.00991337224113782,-0.000837552115844197,3,3,3,4
1102003,"11",0,0,2,3,3,4
1102005,"11",0,0,2,3,3,4
1102010,"11",-0.0204409171436349,-0.00845232769537645,1,3,1,3
1102011,"11",0.00135779759530394,-0.0340505357756334,3,1,3,1
1102013,"11",-0.00317460148277876,-0.0581713997229777,2,1,2,1
1102015,"11",-0.0212952562846692,0.0269461413547912,1,5,1,5
1102016,"11",-0.00861675869026239,-0.00622714541934419,1,3,2,3
1102017,"11",-0.00405481094100196,-0.0137493227844292,2,2,2,3
1102018,"11",-0.00325056426078021,-0.00539755847045383,2,3,2,3
1102019,"11",0.00444790481334524,-0.0198419967359596,3,2,3,2
1102020,"11",-0.0798585657621131,0.00321558986622723,1,4,1,4
1102021,"11",0.0178152611082183,-0.0116054810787826,3,3,4,3
1102022,"11",-0.0418510167874132,-0.011230628154946,1,3,1,3
1102030,"11",0,0,2,3,3,4
1102032,"11",0,0,2,3,3,4
1102034,"11",0,0,2,3,3,4
1102035,"11",-0.034815059010864,-0.0577925047483959,1,1,1,1
1102037,"11",-0.0245499621060342,0.00947227855128312,1,5,1,5
1102040,"11",0.00374510086407466,0.00487612654037552,3,4,3,4
1102043,"11",-0.0321603124907675,0.0344964735728329,1,5,1,5
1102045,"11",-0.00562414737080274,-0.00231888258783059,2,3,2,3
1102046,"11",0.0803474874328227,-0.00353346136705424,5,3,5,3
1102050,"11",0.0482141910602211,-0.0166298976332745,4,2,5,3
1102051,"11",0.018597100091236,0.0265182407552404,3,5,4,5
1102055,"11",-0.0163493016108292,-0.0169754546038004,1,2,1,2
1102057,"11",0.127519554622015,-0.131673758493498,5,1,5,1
1102059,"11",0.0349288860310119,0.00558652240072866,4,4,4,4
1102061,"11",-0.0258659774317374,9.85519654414348e-05,1,4,1,4
1102064,"11",-0.0116525997271682,-0.0168198402072399,1,2,2,2
1102066,"11",0.0346537915669533,-0.0511600920875479,4,1,4,1
1102067,"11",-0.0146378148624045,-0.0170685090780485,1,2,2,2
1102068,"11",-0.0241093081777312,-0.00505877388583053,1,3,1,3
